Title,Units sold,List price,Royalty
,,,
Sales report for Q4,,,
Bookshop US Store,,,
Pining for the Fisheries of Yore,80.0,3.5,14.98
Swimrand,1.0,2.99,0.14
The Bricklayer's Bible,17.0,3.5,5.15
The Duck Goes Here,34.0,2.99,5.78
The Tower Commission Report,4.0,9.5,6.2
US royalties (USD),,,32.25
Bookshop UK Store,,,
Pining for the Fisheries of Yore,47.0,2.99,11.98
The Bricklayer's Bible,17.0,2.99,3.5
The Tower Commission Report,4.0,6.5,4.8
UK royalties (GBP),,,20.28
Bookshop France Store,,,
Swimrand,8.0,1.99,0.88
The Duck Goes Here,12.0,1.99,1.5
France royalties (EUR),,,2.38
