id_producto,nombre_producto,precio
1,Laptop,803.37
2,Mouse,127.51
3,Teclado,402.53
4,Monitor 24,345.53
5,Monitor 27,910.12
6,Impresora,844.37
7,Router WiFi,1081.4
8,Disco SSD 1TB,195.63
9,Disco HDD 2TB,564.11
10,Memoria RAM 16GB,132.78
11,Memoria RAM 32GB,340.5
12,Auriculares,655.89
13,Webcam HD,129.19
14,Microfono USB,318.72
15,Silla Ergonomica,814.87
16,Escritorio,699.44
17,Tablet,342.48
18,Smartphone,748.19
19,Cargador USB-C,990.37
20,Power Bank,107.15
21,Cable HDMI,986.4
22,Adaptador USB,867.95
23,Proyector,474.28
24,Parlante Bluetooth,271.03
25,Smartwatch,1152.93
26,Camara Digital,470.25
27,Licencia Office,202.02
28,Antivirus,206.39
29,UPS,1032.24
30,Switch 8 Puertos,764.1
