id_pedido,id_cliente,estado,fecha_pedido
1,743,Completado,2023-01-17
2,829,Cancelado,2023-11-11
3,785,Completado,2023-05-04
4,212,Completado,2023-02-21
5,609,Completado,2023-08-17
6,613,Completado,2023-05-06
7,759,Completado,2023-07-25
8,450,Completado,2023-10-04
9,223,Completado,2023-03-13
10,516,Cancelado,2023-04-30
11,836,Cancelado,2023-10-23
12,613,Cancelado,2023-05-02
13,310,Completado,2023-12-05
14,534,Completado,2023-07-31
15,308,Cancelado,2023-02-01
16,571,Completado,2023-11-17
17,696,Cancelado,2023-10-12
18,508,Completado,2024-05-12
19,353,Cancelado,2024-02-07
20,538,Cancelado,2023-12-23
21,427,Cancelado,2023-03-18
22,308,Cancelado,2023-04-05
23,773,Cancelado,2023-05-04
24,870,Completado,2023-06-03
25,879,Completado,2024-02-17
26,475,Completado,2023-10-15
27,423,Cancelado,2023-10-13
28,543,Completado,2023-07-18
29,249,Cancelado,2023-04-15
30,339,Completado,2024-04-17
31,461,Cancelado,2023-02-17
32,549,Completado,2023-01-27
33,275,Cancelado,2023-12-11
34,620,Completado,2024-03-23
35,75,Completado,2024-02-16
36,780,Completado,2023-09-03
37,214,Cancelado,2023-06-05
38,16,Completado,2024-04-24
39,195,Completado,2024-01-18
40,773,Cancelado,2024-04-13
41,249,Completado,2023-07-23
42,246,Cancelado,2024-02-02
43,290,Cancelado,2023-08-27
44,547,Cancelado,2023-06-07
45,268,Cancelado,2023-09-20
46,510,Cancelado,2023-02-20
47,823,Cancelado,2024-01-25
48,860,Cancelado,2024-04-13
49,209,Cancelado,2023-06-10
50,424,Completado,2023-10-16
51,885,Completado,2024-01-15
52,150,Completado,2023-05-14
53,567,Cancelado,2023-06-01
54,157,Completado,2023-06-18
55,236,Cancelado,2023-10-19
56,854,Completado,2023-09-13
57,564,Cancelado,2023-05-12
58,782,Cancelado,2024-05-09
59,741,Cancelado,2023-08-24
60,173,Cancelado,2023-03-28
61,144,Cancelado,2023-04-05
62,556,Completado,2023-09-26
63,35,Completado,2024-04-28
64,838,Completado,2024-01-27
65,7,Cancelado,2023-03-12
66,863,Completado,2023-02-04
67,725,Completado,2023-01-05
68,224,Cancelado,2023-07-11
69,62,Cancelado,2023-12-04
70,500,Completado,2023-01-04
71,545,Cancelado,2023-01-07
72,18,Cancelado,2023-10-02
73,294,Completado,2023-09-15
74,833,Cancelado,2024-02-17
75,184,Completado,2024-04-15
76,99,Completado,2023-05-04
77,197,Cancelado,2024-02-22
78,363,Cancelado,2024-02-12
79,407,Completado,2023-07-11
80,416,Cancelado,2023-10-17
81,250,Completado,2023-06-03
82,701,Completado,2023-12-01
83,879,Completado,2023-02-17
84,416,Cancelado,2023-07-13
85,566,Cancelado,2023-01-29
86,653,Completado,2023-12-26
87,176,Completado,2023-09-13
88,866,Cancelado,2023-11-27
89,804,Cancelado,2023-10-17
90,879,Completado,2024-04-03
91,541,Completado,2023-04-28
92,217,Cancelado,2023-05-19
93,48,Completado,2023-12-17
94,288,Completado,2023-04-02
95,871,Cancelado,2023-01-09
96,213,Completado,2024-01-21
97,841,Cancelado,2024-04-20
98,79,Cancelado,2023-03-25
99,578,Completado,2023-10-18
100,855,Cancelado,2023-12-13
101,554,Cancelado,2023-07-16
102,774,Completado,2024-02-09
103,706,Completado,2023-09-14
104,764,Cancelado,2023-01-28
105,101,Cancelado,2023-04-29
106,859,Completado,2023-06-24
107,620,Cancelado,2024-05-11
108,793,Cancelado,2023-01-16
109,650,Cancelado,2024-02-06
110,462,Cancelado,2023-04-27
111,365,Cancelado,2023-08-10
112,191,Cancelado,2023-02-13
113,791,Cancelado,2024-02-13
114,253,Completado,2023-02-12
115,275,Completado,2023-07-14
116,729,Completado,2024-01-14
117,399,Cancelado,2023-07-04
118,110,Completado,2023-01-03
119,316,Cancelado,2023-07-04
120,780,Cancelado,2023-02-22
121,136,Completado,2023-04-06
122,442,Cancelado,2023-10-13
123,569,Cancelado,2023-02-22
124,27,Completado,2023-07-01
125,568,Completado,2023-11-02
126,613,Cancelado,2024-03-18
127,395,Completado,2023-05-30
128,424,Cancelado,2024-02-03
129,87,Completado,2023-10-20
130,534,Completado,2023-12-17
131,390,Completado,2023-03-13
132,276,Cancelado,2023-05-18
133,505,Completado,2023-02-02
134,172,Cancelado,2023-05-22
135,432,Cancelado,2023-09-05
136,802,Completado,2023-07-04
137,258,Completado,2024-01-05
138,641,Cancelado,2023-11-01
139,632,Completado,2023-08-23
140,110,Completado,2023-06-05
141,7,Cancelado,2023-06-20
142,862,Cancelado,2024-02-16
143,883,Cancelado,2023-08-14
144,343,Cancelado,2024-02-22
145,844,Completado,2023-06-03
146,329,Completado,2023-09-03
147,322,Completado,2024-05-08
148,408,Cancelado,2023-05-30
149,753,Cancelado,2024-05-10
150,590,Completado,2023-06-16
151,386,Cancelado,2024-02-23
152,805,Cancelado,2023-07-06
153,117,Completado,2023-10-31
154,559,Completado,2023-12-16
155,787,Completado,2024-05-02
156,745,Cancelado,2024-04-27
157,726,Completado,2023-08-13
158,817,Cancelado,2024-03-01
159,710,Completado,2024-02-24
160,869,Cancelado,2023-12-11
161,512,Completado,2023-11-21
162,311,Completado,2023-05-10
163,675,Completado,2024-01-02
164,434,Cancelado,2023-02-07
165,460,Cancelado,2023-10-26
166,411,Cancelado,2023-10-06
167,38,Cancelado,2023-12-26
168,832,Completado,2023-02-25
169,788,Completado,2023-12-03
170,681,Cancelado,2023-03-27
171,663,Completado,2023-10-16
172,661,Cancelado,2024-05-10
173,771,Cancelado,2024-05-09
174,816,Cancelado,2023-02-24
175,11,Completado,2023-05-13
176,228,Completado,2023-08-17
177,384,Cancelado,2023-08-26
178,791,Completado,2023-06-26
179,26,Cancelado,2023-02-23
180,303,Cancelado,2024-04-16
181,88,Completado,2024-03-01
182,748,Completado,2023-06-28
183,320,Cancelado,2023-08-22
184,804,Completado,2023-09-24
185,495,Cancelado,2023-09-01
186,100,Cancelado,2024-01-05
187,714,Cancelado,2023-06-13
188,69,Cancelado,2023-01-23
189,830,Completado,2023-01-12
190,870,Cancelado,2023-11-28
191,112,Completado,2024-04-21
192,759,Completado,2023-09-22
193,179,Completado,2023-06-19
194,574,Cancelado,2024-05-05
195,474,Completado,2024-02-13
196,415,Completado,2023-04-06
197,656,Cancelado,2023-07-22
198,30,Completado,2023-08-19
199,607,Cancelado,2023-07-19
200,5,Completado,2023-04-16
201,286,Completado,2023-10-23
202,105,Completado,2023-07-07
203,334,Completado,2023-08-23
204,117,Cancelado,2023-12-10
205,884,Cancelado,2023-09-28
206,655,Cancelado,2023-11-02
207,398,Cancelado,2023-10-28
208,117,Cancelado,2023-06-30
209,866,Cancelado,2023-11-13
210,177,Cancelado,2024-04-15
211,630,Completado,2023-12-11
212,138,Cancelado,2023-03-02
213,245,Cancelado,2023-03-01
214,188,Cancelado,2023-12-22
215,145,Cancelado,2023-08-03
216,611,Completado,2023-10-22
217,393,Cancelado,2023-04-06
218,499,Completado,2023-10-12
219,171,Cancelado,2023-05-28
220,144,Completado,2023-06-11
221,863,Cancelado,2023-11-14
222,55,Cancelado,2024-05-02
223,10,Cancelado,2023-03-11
224,200,Cancelado,2024-05-08
225,576,Cancelado,2023-07-29
226,702,Cancelado,2023-08-01
227,728,Cancelado,2023-09-08
228,172,Completado,2023-10-17
229,32,Completado,2023-05-30
230,34,Cancelado,2023-04-26
231,551,Cancelado,2023-03-28
232,800,Cancelado,2023-10-17
233,761,Cancelado,2023-10-09
234,524,Completado,2023-10-21
235,117,Cancelado,2024-02-01
236,557,Cancelado,2023-10-05
237,843,Completado,2024-01-25
238,737,Cancelado,2023-10-07
239,224,Cancelado,2023-02-22
240,754,Completado,2023-06-02
241,896,Completado,2023-08-19
242,270,Cancelado,2024-03-17
243,837,Completado,2023-08-13
244,887,Completado,2024-02-02
245,832,Completado,2023-04-18
246,831,Cancelado,2024-03-16
247,728,Cancelado,2023-03-26
248,631,Completado,2024-02-06
249,212,Completado,2024-02-17
250,61,Cancelado,2023-09-30
251,288,Completado,2023-06-15
252,721,Cancelado,2023-05-29
253,587,Cancelado,2024-05-02
254,879,Completado,2023-03-11
255,769,Cancelado,2024-04-15
256,61,Cancelado,2024-03-19
257,672,Completado,2023-12-26
258,887,Completado,2023-05-08
259,150,Cancelado,2024-02-29
260,254,Cancelado,2023-09-08
261,146,Cancelado,2023-11-18
262,425,Cancelado,2023-08-20
263,78,Completado,2023-07-26
264,528,Cancelado,2023-12-22
265,899,Cancelado,2023-08-21
266,500,Cancelado,2023-10-25
267,3,Completado,2024-01-10
268,470,Cancelado,2024-03-11
269,65,Cancelado,2023-04-22
270,440,Completado,2023-09-11
271,275,Cancelado,2024-02-29
272,291,Cancelado,2023-10-08
273,592,Completado,2023-10-17
274,873,Cancelado,2024-02-08
275,352,Completado,2023-01-24
276,102,Cancelado,2023-01-09
277,128,Completado,2023-08-14
278,468,Completado,2024-05-05
279,439,Completado,2023-12-19
280,136,Cancelado,2023-03-23
281,896,Cancelado,2023-02-17
282,671,Cancelado,2023-05-09
283,85,Cancelado,2023-12-07
284,665,Completado,2023-01-27
285,406,Cancelado,2024-01-07
286,717,Completado,2023-08-08
287,672,Completado,2023-12-27
288,98,Completado,2023-04-20
289,489,Completado,2023-03-09
290,608,Completado,2023-09-23
291,697,Cancelado,2023-01-05
292,9,Cancelado,2024-02-23
293,124,Cancelado,2023-12-22
294,136,Cancelado,2023-02-06
295,235,Cancelado,2023-02-15
296,749,Completado,2023-02-22
297,321,Cancelado,2024-03-27
298,307,Completado,2023-07-15
299,793,Completado,2023-11-25
300,694,Completado,2023-02-05
301,544,Completado,2023-11-09
302,666,Completado,2023-08-14
303,360,Completado,2023-11-18
304,767,Completado,2024-04-15
305,422,Cancelado,2024-03-16
306,223,Completado,2024-04-04
307,103,Completado,2024-01-21
308,127,Cancelado,2023-06-29
309,440,Cancelado,2024-02-10
310,144,Completado,2023-05-22
311,661,Completado,2023-05-08
312,567,Cancelado,2024-02-03
313,708,Completado,2024-03-10
314,868,Cancelado,2023-04-16
315,531,Completado,2024-01-18
316,402,Cancelado,2023-11-27
317,56,Completado,2023-09-11
318,396,Completado,2023-05-04
319,512,Completado,2023-09-28
320,13,Cancelado,2024-04-23
321,325,Completado,2023-07-18
322,882,Cancelado,2023-07-07
