id_venta,id_pedido,id_producto,cantidad,precio_unitario,total_venta
1,173,162,7,441048,3087336
2,253,3,6,119821,718926
3,730,403,4,291404,1165616
4,284,379,7,83087,581609
5,138,431,6,346992,2081952
6,899,348,6,69236,415416
7,457,246,8,200717,1605736
8,499,184,5,167310,836550
9,180,283,2,23244,46488
10,84,331,10,437661,4376610
11,880,431,5,346992,1734960
12,552,424,3,362140,1086420
13,752,101,5,20179,100895
14,745,454,2,239218,478436
15,870,39,1,366905,366905
16,833,260,1,432507,432507
17,415,298,10,452126,4521260
18,218,394,10,105025,1050250
19,565,465,1,223022,223022
20,553,134,9,306863,2761767
21,375,242,3,279456,838368
22,791,201,4,399469,1597876
23,138,302,5,293356,1466780
24,523,238,9,381724,3435516
25,373,47,7,31517,220619
26,679,258,1,469409,469409
27,701,123,10,319218,3192180
28,144,85,9,53879,484911
29,184,229,3,139177,417531
30,676,290,10,169828,1698280
31,754,447,3,419589,1258767
32,368,375,8,109363,874904
33,780,21,4,12297,49188
34,65,250,4,74945,299780
35,240,136,6,156789,940734
36,531,22,4,243438,973752
37,398,465,6,223022,1338132
38,48,241,8,103206,825648
39,106,21,6,12297,73782
40,649,361,9,264467,2380203
41,855,425,5,7716,38580
42,593,380,5,176948,884740
43,179,279,10,340266,3402660
44,375,193,7,447723,3134061
45,530,301,2,355140,710280
46,229,129,7,284226,1989582
47,362,265,7,234088,1638616
48,499,419,6,76970,461820
49,619,406,8,122895,983160
50,143,4,9,330525,2974725
51,236,226,3,402851,1208553
52,659,40,9,237460,2137140
53,154,144,4,121167,484668
54,371,96,3,188560,565680
55,677,309,2,250055,500110
56,831,118,7,400807,2805649
57,494,170,2,379507,759014
58,491,346,8,274997,2199976
59,166,108,10,202234,2022340
60,23,332,7,47584,333088
61,131,125,1,407312,407312
62,165,294,10,142246,1422460
63,41,69,9,228490,2056410
64,151,457,10,368210,3682100
65,265,29,3,345388,1036164
66,530,473,3,65943,197829
67,614,491,7,47074,329518
68,653,497,10,283886,2838860
69,88,10,5,396895,1984475
70,622,111,8,412285,3298280
71,175,242,8,279456,2235648
72,616,113,7,87528,612696
73,841,74,10,204703,2047030
74,639,393,3,21552,64656
75,271,338,9,160941,1448469
76,465,86,6,395379,2372274
77,71,306,10,68628,686280
78,395,118,7,400807,2805649
79,17,68,2,36890,73780
80,881,104,9,8201,73809
81,701,466,9,402069,3618621
82,621,215,3,440707,1322121
83,488,50,3,312433,937299
84,615,462,10,197698,1976980
85,516,20,9,52344,471096
86,96,386,2,223387,446774
87,618,247,3,192220,576660
88,794,277,1,386060,386060
89,535,348,7,69236,484652
90,896,216,6,482366,2894196
91,440,23,9,311477,2803293
92,809,118,8,400807,3206456
93,359,394,7,105025,735175
94,101,302,10,293356,2933560
95,261,218,3,222525,667575
96,880,245,4,27824,111296
97,613,43,5,36745,183725
98,419,449,9,438580,3947220
99,6,132,4,233704,934816
100,592,364,1,75220,75220
101,533,268,2,197595,395190
102,671,4,7,330525,2313675
103,419,106,6,41482,248892
104,159,186,2,431343,862686
105,260,219,10,268196,2681960
106,434,134,9,306863,2761767
107,627,290,6,169828,1018968
108,774,142,7,279707,1957949
109,566,105,7,301915,2113405
110,495,402,9,95797,862173
111,573,92,6,155800,934800
112,260,285,8,194871,1558968
113,353,158,10,422506,4225060
114,754,397,7,220155,1541085
115,766,71,2,43530,87060
116,802,118,8,400807,3206456
117,103,359,3,131211,393633
118,411,110,9,168387,1515483
119,821,403,6,291404,1748424
120,714,282,10,21326,213260
121,165,351,1,458070,458070
122,824,200,1,237888,237888
123,483,47,3,31517,94551
124,446,475,10,52679,526790
125,270,46,2,341437,682874
126,82,114,6,358353,2150118
127,742,312,1,280615,280615
128,629,197,7,90064,630448
129,294,336,9,341544,3073896
130,59,365,10,405480,4054800
131,656,485,3,494990,1484970
132,11,254,8,430458,3443664
133,293,104,9,8201,73809
134,803,100,1,324288,324288
135,529,307,9,129117,1162053
136,630,358,4,211172,844688
137,369,87,1,430600,430600
138,162,123,1,319218,319218
139,799,45,5,53063,265315
140,686,205,6,197854,1187124
141,601,203,7,167250,1170750
142,16,103,9,488151,4393359
143,93,378,2,426509,853018
144,744,282,5,21326,106630
145,597,425,9,7716,69444
146,836,179,6,153974,923844
147,621,142,4,279707,1118828
148,466,494,4,282265,1129060
149,589,477,7,74176,519232
150,180,3,5,119821,599105
151,110,209,9,425090,3825810
152,516,287,2,199492,398984
153,120,151,6,320830,1924980
154,264,412,9,410308,3692772
155,833,449,9,438580,3947220
156,257,407,10,374571,3745710
157,387,356,8,266493,2131944
158,789,289,8,282589,2260712
159,795,125,6,407312,2443872
160,601,235,8,37929,303432
161,494,442,1,471228,471228
162,70,60,5,96355,481775
163,694,196,4,318129,1272516
164,820,360,4,30510,122040
165,362,162,7,441048,3087336
166,10,265,9,234088,2106792
167,255,359,5,131211,656055
168,409,148,2,189077,378154
169,78,345,6,214042,1284252
170,488,284,3,128729,386187
171,224,161,6,24717,148302
172,276,458,10,355112,3551120
173,511,94,4,86123,344492
174,241,378,4,426509,1706036
175,894,377,4,25402,101608
176,235,136,4,156789,627156
177,857,104,4,8201,32804
178,160,317,6,407538,2445228
179,123,399,2,375029,750058
180,693,472,2,91264,182528
181,629,490,8,460931,3687448
182,44,4,9,330525,2974725
183,381,435,8,494644,3957152
184,505,318,6,268645,1611870
185,890,460,10,364700,3647000
186,188,141,8,132567,1060536
187,287,392,9,82477,742293
188,769,204,4,478942,1915768
189,56,296,3,325799,977397
190,490,270,7,46380,324660
191,34,482,9,396016,3564144
192,404,258,6,469409,2816454
193,469,441,3,243209,729627
194,716,500,2,496473,992946
195,324,266,8,474047,3792376
196,13,353,1,431496,431496
197,389,346,4,274997,1099988
198,334,298,2,452126,904252
199,883,186,10,431343,4313430
200,562,133,3,487954,1463862
201,276,135,4,376981,1507924
202,352,242,10,279456,2794560
203,511,188,3,271594,814782
204,430,218,4,222525,890100
205,374,359,6,131211,787266
206,287,438,7,464665,3252655
207,586,231,3,63293,189879
208,703,68,10,36890,368900
209,739,118,2,400807,801614
210,569,139,4,441221,1764884
211,201,222,7,493020,3451140
212,485,75,3,242877,728631
213,181,413,1,157280,157280
214,138,216,8,482366,3858928
215,547,458,9,355112,3196008
216,805,369,6,43551,261306
217,257,250,5,74945,374725
218,49,288,10,405076,4050760
219,708,204,2,478942,957884
220,221,84,1,40197,40197
221,488,417,5,110941,554705
222,461,430,2,481020,962040
223,267,382,6,316282,1897692
224,574,185,6,342375,2054250
225,353,286,5,322243,1611215
226,125,11,7,110274,771918
227,204,180,10,179777,1797770
228,666,296,10,325799,3257990
229,179,333,9,346379,3117411
230,364,400,5,299066,1495330
231,500,167,9,173572,1562148
232,81,397,8,220155,1761240
233,294,196,10,318129,3181290
234,890,238,3,381724,1145172
235,432,86,6,395379,2372274
236,586,324,10,107918,1079180
237,82,208,2,89965,179930
238,234,83,6,85026,510156
239,669,161,6,24717,148302
240,620,150,5,139201,696005
241,278,331,7,437661,3063627
242,800,455,8,177818,1422544
243,766,442,6,471228,2827368
244,462,301,9,355140,3196260
245,189,212,3,295739,887217
246,129,438,1,464665,464665
247,678,373,4,200663,802652
248,216,129,2,284226,568452
249,106,86,7,395379,2767653
250,900,49,2,40971,81942
251,56,243,9,280806,2527254
