id_detalle,id_pedido,id_producto,cantidad
1,1,24,1
2,1,1,4
3,2,11,3
4,2,10,4
5,2,21,3
6,2,18,2
7,3,20,1
8,3,5,2
9,3,21,4
10,3,11,2
11,4,11,3
12,4,4,1
13,4,6,2
14,5,6,3
15,5,25,3
16,5,24,3
17,6,24,4
18,6,1,3
19,6,3,1
20,7,21,2
21,7,6,3
22,7,5,3
23,8,30,2
24,8,24,2
25,8,1,3
26,9,3,3
27,9,30,3
28,9,10,3
29,9,4,1
30,10,9,1
31,10,1,4
32,10,20,1
33,11,29,1
34,11,9,1
35,11,6,1
36,12,20,1
37,12,31,2
38,13,28,3
39,13,60,1
40,14,22,1
41,14,15,1
42,14,21,2
43,15,40,2
44,15,49,3
45,16,10,1
46,16,32,3
47,17,16,2
48,17,6,2
49,17,45,3
50,18,9,2
51,18,44,2
52,18,2,1
53,19,47,2
54,19,59,1
55,19,20,3
56,20,35,3
57,20,62,2
58,20,60,1
59,20,56,1
60,21,12,2
61,21,36,1
62,22,49,2
63,22,44,1
64,22,4,1
65,23,28,1
66,23,46,1
67,23,34,2
68,24,2,1
69,24,25,3
70,24,11,2
71,25,31,2
72,25,61,1
73,25,63,1
74,26,29,1
75,26,52,3
76,26,32,2
77,27,61,3
78,27,45,2
79,27,55,1
80,28,59,1
81,28,35,1
82,28,40,1
83,29,41,3
84,29,16,2
85,30,25,3
86,30,28,2
87,31,37,1
88,31,13,1
89,31,25,1
90,32,39,3
91,32,2,2
92,33,36,1
93,33,6,2
94,34,17,1
95,34,63,2
96,34,14,1
97,35,62,1
98,35,57,1
99,35,44,1
100,36,15,2
101,36,9,1
102,36,52,2
103,37,20,1
104,37,39,1
105,38,54,2
106,38,29,2
107,39,57,1
108,39,39,2
109,39,55,2
110,40,13,3
111,40,27,1
112,41,11,1
113,41,21,2
114,41,31,1
115,42,1,2
116,42,53,3
117,43,61,1
118,43,38,3
119,43,5,1
120,43,30,3
121,44,10,3
122,44,30,2
123,44,34,3
124,45,55,2
125,45,15,1
126,46,35,1
127,46,19,1
128,47,40,2
129,47,37,1
130,48,39,2
131,48,52,2
132,48,35,2
133,49,11,3
134,49,6,1
135,49,56,2
136,50,4,3
137,50,12,2
138,50,30,2
139,51,35,1
140,51,6,2
141,52,57,3
142,52,36,2
143,52,24,1
144,52,56,2
145,53,53,3
146,53,43,1
147,53,42,1
148,54,53,3
149,54,64,2
150,54,37,2
151,55,59,1
152,55,12,1
153,56,15,3
154,56,52,2
155,56,1,2
156,57,7,2
157,57,25,2
158,57,47,3
159,58,7,2
160,58,27,1
161,58,35,1
162,59,63,3
163,59,16,2
164,59,4,1
165,60,40,2
166,60,2,2
167,61,29,2
168,61,15,1
169,62,64,2
170,62,38,3
171,63,54,1
172,63,62,2
173,63,61,2
174,64,50,2
175,64,25,2
176,65,9,2
177,65,36,1
178,66,35,2
179,66,1,2
180,66,37,3
