id_pedido,fecha_pedido,id_cliente
1,2025-04-13,17
2,2025-02-21,17
3,2025-04-03,17
4,2025-01-15,17
5,2025-03-15,17
6,2025-03-13,17
7,2025-03-02,17
8,2025-01-21,17
9,2025-04-13,17
10,2025-03-24,17
11,2025-03-28,86
12,2025-03-16,14
13,2025-03-16,46
14,2025-03-29,100
15,2025-04-27,72
16,2025-04-10,53
17,2025-04-14,80
18,2025-01-24,96
19,2025-01-03,20
20,2025-01-22,31
21,2025-02-22,21
22,2025-01-02,23
23,2025-03-29,53
24,2025-04-18,4
25,2025-01-30,23
26,2025-02-07,95
27,2025-01-02,43
28,2025-03-15,53
29,2025-03-01,86
30,2025-01-21,95
31,2025-02-02,32
32,2025-03-17,35
33,2025-02-27,21
34,2025-01-22,90
35,2025-04-18,14
36,2025-03-30,49
37,2025-02-18,5
38,2025-04-01,61
39,2025-02-28,29
40,2025-02-11,26
41,2025-04-02,59
42,2025-03-01,45
43,2025-03-21,40
44,2025-01-15,30
45,2025-03-03,29
46,2025-03-03,4
47,2025-02-16,85
48,2025-03-03,25
49,2025-02-20,52
50,2025-04-18,43
51,2025-02-24,36
52,2025-04-26,9
53,2025-03-05,99
54,2025-01-03,36
55,2025-04-11,45
56,2025-02-20,83
57,2025-01-07,66
58,2025-01-21,52
59,2025-03-14,87
60,2025-02-08,69
61,2025-01-18,43
62,2025-01-04,4
63,2025-03-30,15
64,2025-03-01,34
65,2025-01-14,23
66,2025-04-24,75
67,2025-01-09,34
68,2025-03-31,5
69,2025-02-22,14
70,2025-01-02,77
71,2025-03-25,56
72,2025-04-02,45
73,2025-04-21,94
74,2025-03-01,41
75,2025-03-12,56
76,2025-02-13,78
77,2025-01-08,66
78,2025-02-16,15
79,2025-02-04,50
80,2025-03-19,74
81,2025-03-22,25
82,2025-02-05,33
83,2025-02-19,6
84,2025-04-14,91
85,2025-01-04,56
86,2025-01-02,1
87,2025-01-06,67
88,2025-02-23,69
89,2025-04-16,88
90,2025-03-15,93
91,2025-02-23,95
92,2025-04-03,95
93,2025-03-04,86
94,2025-01-18,26
95,2025-03-31,47
96,2025-02-13,56
97,2025-02-03,9
98,2025-03-15,86
99,2025-03-03,43
100,2025-04-10,80
101,2025-01-14,41
102,2025-04-05,85
103,2025-02-17,16
104,2025-01-15,93
105,2025-03-13,39
106,2025-03-19,65
107,2025-03-28,40
108,2025-03-03,86
109,2025-02-09,53
110,2025-03-26,42
111,2025-03-21,52
112,2025-04-19,90
113,2025-03-23,38
114,2025-04-21,71
115,2025-02-22,17
116,2025-01-24,25
117,2025-01-26,54
118,2025-03-30,86
119,2025-03-01,49
120,2025-04-19,87
121,2025-02-10,96
122,2025-01-29,23
123,2025-01-15,79
124,2025-02-14,73
125,2025-03-06,39
126,2025-03-30,52
127,2025-03-12,71
128,2025-01-09,1
129,2025-03-29,39
130,2025-01-01,37
131,2025-04-18,27
132,2025-01-08,56
133,2025-03-29,75
134,2025-03-04,78
135,2025-01-11,84
136,2025-04-25,42
137,2025-03-22,60
138,2025-01-08,57
139,2025-02-04,57
140,2025-02-04,87
141,2025-02-02,28
142,2025-01-05,66
143,2025-04-16,61
144,2025-03-15,95
145,2025-02-10,22
146,2025-01-28,85
147,2025-01-07,11
148,2025-03-14,37
149,2025-03-13,66
150,2025-01-12,85
151,2025-02-03,82
152,2025-02-02,80
153,2025-02-17,43
154,2025-04-29,12
155,2025-01-23,97
156,2025-03-03,31
157,2025-03-29,87
158,2025-02-06,40
159,2025-04-09,29
160,2025-02-13,26
161,2025-04-14,19
162,2025-03-27,4
163,2025-04-01,6
164,2025-02-04,32
165,2025-03-06,61
166,2025-04-09,79
167,2025-04-11,99
168,2025-02-16,10
169,2025-03-19,59
170,2025-01-03,54
171,2025-01-01,81
172,2025-01-05,74
173,2025-03-31,25
174,2025-04-29,92
175,2025-01-14,90
176,2025-04-13,50
177,2025-01-27,64
178,2025-01-09,52
179,2025-03-20,32
180,2025-01-15,19
