fecha,region,categoria,canal,dispositivo,segmento_cliente,sessions,conversions,conversion_rate,unidades_vendidas,precio_promedio,ventas_monto,nps
2024-11-27,Norte,Deportes,Organico,Mobile,Nuevo,1587,37,0.0233,37,60671,2244819,70
2025-01-09,Sur,Tecnologia,Referido,Mobile,Nuevo,942,21,0.0223,21,166491,3496305,33
2024-03-29,Centro,Deportes,Organico,Mobile,Nuevo,1124,24,0.0214,39,60509,1452221,35
2025-07-18,Centro,Tecnologia,Referido,Mobile,Nuevo,843,11,0.013,14,215655,2372206,37
2025-10-07,Sur,Electrodomesticos,Organico,Tablet,Recurrente,649,10,0.0154,15,118253,1182534,34
2024-02-20,Norte,Tecnologia,Referido,Mobile,Recurrente,628,10,0.0159,13,146241,1462413,33
2025-03-05,Norte,Electrodomesticos,Organico,Tablet,Recurrente,959,18,0.0188,20,152175,2739145,54
2025-07-27,Sur,Hogar,Organico,Tablet,Nuevo,116,0,0.0,1,92910,0,35
2025-01-16,Norte,Electrodomesticos,Organico,Tablet,Nuevo,607,5,0.0082,7,164522,822609,16
2025-09-25,Norte,Deportes,Referido,Desktop,Recurrente,683,16,0.0234,16,61819,989096,34
2025-04-21,Sur,Deportes,Email,Desktop,Nuevo,506,9,0.0178,10,64868,583810,44
2024-07-03,Sur,Hogar,Organico,Tablet,Recurrente,731,18,0.0246,25,94951,1709109,27
2025-06-21,Centro,Vestuario,Social,Desktop,Nuevo,875,12,0.0137,13,51009,612104,23
2024-04-30,Sur,Deportes,Pago,Desktop,Nuevo,1205,27,0.0224,30,58714,1585267,37
2025-05-15,Centro,Tecnologia,Organico,Tablet,Recurrente,1418,28,0.0197,35,186419,5219734,35
2024-12-14,Sur,Vestuario,Referido,Desktop,Recurrente,559,10,0.0179,10,51408,514077,39
2024-03-11,Norte,Vestuario,Social,Tablet,Nuevo,417,10,0.024,13,43445,434448,31
2024-03-03,Sur,Vestuario,Referido,Tablet,Recurrente,209,2,0.0096,2,53643,107285,29
2024-10-18,Sur,Deportes,Email,Mobile,Recurrente,616,16,0.026,16,56531,904489,41
2024-12-29,Norte,Electrodomesticos,Organico,Desktop,Nuevo,1153,23,0.0199,23,167356,3849179,36
2024-08-11,Centro,Hogar,Pago,Desktop,Recurrente,839,18,0.0215,21,80929,1456722,42
2025-05-23,Norte,Hogar,Social,Desktop,Recurrente,782,12,0.0153,12,91008,1092097,32
2024-05-20,Centro,Electrodomesticos,Email,Tablet,Recurrente,460,7,0.0152,11,128433,899032,34
2025-01-02,Sur,Deportes,Pago,Mobile,Nuevo,1371,21,0.0153,29,71925,1510415,23
2024-06-29,Norte,Hogar,Pago,Mobile,Recurrente,639,12,0.0188,13,101589,1219072,30
2025-08-26,Norte,Vestuario,Email,Mobile,Nuevo,660,17,0.0258,24,37847,643397,37
2025-03-05,Sur,Vestuario,Referido,Tablet,Recurrente,432,11,0.0255,11,62085,682932,37
2024-05-08,Sur,Electrodomesticos,Referido,Tablet,Nuevo,484,10,0.0207,10,154922,1549218,26
2025-04-12,Sur,Electrodomesticos,Social,Desktop,Recurrente,231,8,0.0346,8,163680,1309441,29
2025-02-07,Norte,Deportes,Social,Mobile,Nuevo,365,8,0.0219,8,65282,522259,33
2024-03-09,Norte,Deportes,Pago,Mobile,Recurrente,732,24,0.0328,37,58990,1415752,43
2025-09-07,Norte,Tecnologia,Organico,Tablet,Nuevo,537,8,0.0149,8,180396,1443168,26
2025-07-03,Norte,Vestuario,Referido,Mobile,Nuevo,645,15,0.0233,16,47141,707121,42
2024-07-31,Sur,Deportes,Pago,Tablet,Recurrente,576,12,0.0208,18,73150,877801,8
2024-12-21,Sur,Vestuario,Social,Mobile,Nuevo,522,14,0.0268,14,44419,621860,14
2025-05-14,Centro,Deportes,Social,Desktop,Nuevo,845,22,0.026,30,55935,1230578,36
2024-05-27,Norte,Vestuario,Email,Desktop,Nuevo,335,7,0.0209,9,44897,314277,36
2025-06-12,Norte,Hogar,Referido,Desktop,Nuevo,653,14,0.0214,16,97579,1366108,34
2025-12-07,Sur,Tecnologia,Referido,Desktop,Nuevo,623,15,0.0241,18,167721,2515820,31
