fecha,region,categoria,numero_ordenes,ticket_promedio,ventas_totales
2023-03-08,Centro,Deportes,127,71973,9140571
2023-01-31,Norte,Deportes,39,64918,2531802
2025-10-03,Centro,Hogar,122,84738,10338036
2023-03-12,Sur,Deportes,81,66058,5350698
2024-11-02,Norte,Hogar,82,92511,7585902
2025-01-09,Norte,Deportes,70,76729,5371030
2023-10-12,Sur,Vestuario,124,51940,6440560
2025-02-20,Centro,Vestuario,185,48004,8880740
2024-06-21,Centro,Hogar,80,96925,7754000
2024-09-12,Sur,Vestuario,170,37711,6410870
2023-09-30,Centro,Hogar,60,70156,4209360
2025-06-19,Sur,Deportes,81,88253,7148493
2023-04-01,Sur,Tecnologia,135,225160,30396600
2024-04-27,Norte,Hogar,73,114921,8389233
2024-09-12,Sur,Vestuario,137,49139,6732043
2024-05-06,Centro,Electrodomesticos,65,146816,9543040
2025-07-11,Centro,Deportes,99,60357,5975343
2023-05-14,Sur,Electrodomesticos,81,164680,13339080
2024-10-26,Sur,Hogar,93,90188,8387484
2024-04-04,Centro,Hogar,138,84569,11670522
2023-03-17,Norte,Deportes,74,61578,4556772
2024-09-08,Sur,Tecnologia,96,166787,16011552
2025-12-28,Norte,Hogar,67,91969,6161923
2025-02-26,Sur,Vestuario,136,47107,6406552
2023-11-03,Norte,Tecnologia,120,176019,21122280
2025-06-23,Norte,Hogar,71,99119,7037449
2024-12-15,Centro,Deportes,95,71904,6830880
2025-07-01,Norte,Vestuario,133,46374,6167742
2023-10-21,Sur,Electrodomesticos,102,182019,18565938
2024-01-01,Norte,Vestuario,118,42555,5021490
2025-07-22,Centro,Hogar,102,87850,8960700
2023-12-23,Norte,Deportes,94,58196,5470424
2024-12-12,Centro,Deportes,108,59839,6462612
2024-04-03,Norte,Electrodomesticos,64,125954,8061056
2023-03-31,Centro,Vestuario,171,44177,7554267
2024-05-11,Norte,Vestuario,125,48111,6013875
2025-07-06,Centro,Electrodomesticos,66,183737,12126642
2023-11-21,Centro,Deportes,119,89059,10598021
2024-05-09,Sur,Electrodomesticos,28,174894,4897032
2024-07-10,Sur,Deportes,56,57219,3204264
2025-10-20,Norte,Hogar,103,119863,12345889
2025-09-29,Sur,Deportes,40,62827,2513080
2025-04-01,Norte,Deportes,62,44215,2741330
2024-12-16,Sur,Deportes,86,68835,5919810
2025-09-30,Sur,Hogar,89,66579,5925531
2025-06-22,Norte,Deportes,81,67384,5458104
2023-03-14,Norte,Deportes,63,57649,3631887
2023-05-13,Norte,Vestuario,131,51198,6706938
2023-07-09,Norte,Tecnologia,88,182418,16052784
2025-07-18,Centro,Hogar,127,67148,8527796
2025-07-28,Centro,Electrodomesticos,74,114221,8452354
2025-07-04,Centro,Vestuario,157,48170,7562690
2025-07-27,Centro,Vestuario,176,42299,7444624
2025-11-30,Sur,Hogar,91,107086,9744826
2024-05-01,Centro,Electrodomesticos,88,141105,12417240
2023-03-09,Sur,Hogar,91,88290,8034390
2025-09-07,Norte,Tecnologia,134,160037,21444958
2024-08-29,Centro,Hogar,100,90028,9002800
2024-08-15,Norte,Tecnologia,88,183809,16175192
2023-08-05,Centro,Hogar,114,71935,8200590
2025-09-04,Norte,Vestuario,110,36086,3969460
2025-03-31,Norte,Vestuario,139,61640,8567960
2024-01-09,Norte,Electrodomesticos,70,168309,11781630
2024-02-03,Centro,Hogar,132,97377,12853764
2023-07-16,Sur,Vestuario,173,49508,8564884
