fecha_venta,categoria_producto,producto,region,tipo_cliente,unidades_vendidas,precio_unitario,monto_total
2023-03-26,Hogar,Mesa,Sur,Mayorista,12,346928,4163136
2023-01-02,Vestuario,Chaqueta,Norte,Minorista,5,16521,82605
2023-04-21,Vestuario,Polera,Centro,Mayorista,1,400189,400189
2023-08-12,Tecnologia,Smartphone,Norte,Minorista,19,401875,7635625
2023-08-05,Tecnologia,Tablet,Norte,Mayorista,3,284220,852660
2023-12-28,Hogar,Mesa,Norte,Minorista,17,74910,1273470
2023-10-27,Electrodomesticos,Lavadora,Sur,Mayorista,19,352662,6700578
2023-07-18,Deportes,Bicicleta,Centro,Minorista,19,151593,2880267
2023-10-04,Electrodomesticos,Aspiradora,Norte,Minorista,7,10524,73668
2023-08-12,Hogar,Silla,Sur,Mayorista,5,303995,1519975
2023-11-19,Vestuario,Chaqueta,Norte,Mayorista,20,270263,5405260
2023-11-28,Deportes,Raqueta,Centro,Minorista,1,216467,216467
2023-08-28,Electrodomesticos,Aspiradora,Norte,Minorista,2,49486,98972
2023-09-22,Hogar,Silla,Norte,Minorista,5,128442,642210
2023-03-08,Vestuario,Zapatillas,Sur,Mayorista,11,323114,3554254
2023-02-11,Deportes,Pesas,Norte,Mayorista,18,263411,4741398
2023-09-06,Hogar,Sofa,Norte,Minorista,6,490004,2940024
2023-03-24,Electrodomesticos,Lavadora,Centro,Minorista,17,76003,1292051
2023-02-04,Tecnologia,Notebook,Sur,Minorista,15,311788,4676820
2023-03-13,Hogar,Lampara,Norte,Mayorista,18,134941,2428938
2023-10-17,Deportes,Balon,Sur,Minorista,8,192308,1538464
2023-11-24,Electrodomesticos,Microondas,Norte,Minorista,18,30464,548352
2023-05-18,Vestuario,Zapatillas,Sur,Minorista,11,29355,322905
2023-03-22,Deportes,Bicicleta,Norte,Mayorista,5,324332,1621660
2023-11-22,Hogar,Silla,Sur,Minorista,12,444293,5331516
2023-12-01,Deportes,Pesas,Sur,Minorista,15,87018,1305270
2023-09-07,Deportes,Balon,Sur,Mayorista,1,285184,285184
2023-08-18,Tecnologia,Smartphone,Centro,Minorista,20,223646,4472920
2023-05-04,Electrodomesticos,Microondas,Norte,Minorista,19,127864,2429416
