id_venta,id_cliente,fecha_venta,monto
1501,336,2023-04-13,90736
1502,277,2023-05-11,183917
1503,485,2023-05-18,111651
1504,254,2023-04-26,92723
1505,385,2023-06-10,143556
1506,34,2023-06-22,100518
1507,459,2023-04-22,106532
1508,333,2023-05-22,124791
1509,228,2023-06-12,123219
1510,141,2023-06-25,106283
1511,292,2023-05-01,113939
1512,455,2023-06-26,94117
1513,314,2023-05-20,10000
1514,141,2023-05-18,124737
1515,211,2023-05-29,10000
1516,57,2023-04-21,196705
1517,93,2023-05-12,24139
1518,30,2023-04-25,127189
1519,258,2023-06-30,93138
1520,367,2023-05-02,107570
1521,46,2023-06-10,110334
1522,332,2023-04-26,112218
1523,194,2023-06-25,103303
1524,102,2023-05-13,131699
1525,368,2023-06-06,96849
1526,364,2023-06-01,142269
1527,205,2023-04-17,78275
1528,353,2023-04-24,129797
1529,12,2023-06-24,91966
1530,19,2023-06-01,132902
1531,102,2023-04-01,105960
1532,189,2023-04-25,98660
1533,367,2023-04-03,123427
1534,489,2023-06-15,150088
1535,100,2023-06-11,102448
1536,378,2023-04-18,224366
1537,411,2023-04-26,183567
1538,127,2023-05-11,39321
1539,183,2023-06-05,56353
1540,274,2023-05-01,150993
1541,358,2023-05-21,127749
1542,390,2023-05-10,82350
1543,295,2023-05-29,46748
1544,309,2023-04-19,203067
1545,358,2023-06-14,181863
1546,25,2023-05-21,114801
1547,425,2023-06-21,85848
1548,47,2023-05-26,182841
1549,436,2023-05-05,194631
1550,296,2023-04-29,240800
1551,120,2023-05-13,106742
1552,334,2023-06-15,131462
1553,447,2023-05-05,99904
1554,110,2023-05-31,167926
1555,220,2023-06-30,31011
1556,497,2023-04-29,147452
1557,166,2023-06-19,261663
1558,409,2023-05-28,128373
1559,244,2023-05-12,105492
1560,155,2023-05-03,112844
1561,386,2023-06-28,65137
1562,364,2023-04-18,68996
1563,144,2023-04-04,129560
1564,225,2023-06-18,165865
1565,373,2023-04-01,102783
1566,458,2023-05-20,109538
1567,293,2023-06-03,141684
1568,471,2023-06-12,83815
1569,201,2023-05-11,10000
1570,196,2023-05-09,129523
1571,374,2023-05-20,126345
1572,199,2023-04-14,82738
1573,50,2023-05-10,87512
1574,203,2023-04-08,165642
1575,187,2023-05-01,173174
1576,147,2023-06-30,190229
1577,271,2023-06-07,26307
1578,330,2023-06-11,115124
1579,483,2023-06-27,217213
1580,148,2023-06-30,152075
1581,284,2023-04-15,45724
1582,110,2023-05-12,73936
1583,443,2023-04-03,164236
1584,171,2023-04-28,166905
1585,209,2023-06-16,97122
1586,235,2023-05-11,107115
1587,35,2023-05-07,29951
1588,359,2023-05-04,226250
1589,136,2023-05-17,125269
1590,483,2023-05-04,159570
1591,45,2023-06-28,148308
1592,467,2023-05-31,74916
1593,216,2023-05-27,258196
1594,34,2023-05-20,152263
1595,442,2023-04-10,178966
1596,407,2023-06-07,181596
1597,121,2023-05-03,184323
1598,210,2023-06-30,161617
1599,255,2023-06-12,156751
1600,381,2023-05-01,123961
1601,12,2023-05-02,177244
1602,6,2023-04-22,107205
1603,338,2023-06-15,155031
1604,488,2023-06-13,77338
1605,413,2023-06-13,112483
1606,325,2023-04-11,154221
1607,248,2023-05-07,140777
1608,325,2023-04-27,47770
1609,210,2023-06-27,93601
1610,302,2023-06-24,152665
1611,78,2023-05-01,125849
1612,440,2023-05-31,174585
1613,299,2023-05-06,136661
1614,10,2023-05-21,128757
1615,401,2023-05-25,90893
1616,66,2023-06-18,94644
1617,327,2023-06-15,128704
1618,183,2023-04-01,79169
1619,380,2023-05-09,108757
1620,211,2023-04-20,264364
1621,441,2023-05-19,71832
1622,437,2023-04-24,143299
1623,251,2023-06-11,92360
1624,203,2023-06-21,182285
1625,55,2023-06-26,83559
1626,242,2023-04-04,77415
1627,152,2023-05-06,107687
1628,32,2023-06-18,103696
1629,447,2023-06-27,177120
1630,5,2023-06-07,135108
1631,46,2023-06-21,122721
1632,8,2023-06-23,102834
1633,197,2023-06-25,52821
1634,3,2023-06-26,188445
1635,108,2023-04-22,141252
1636,337,2023-06-01,140680
1637,95,2023-05-06,198912
1638,377,2023-04-23,196245
1639,166,2023-06-07,211144
1640,141,2023-04-04,145115
1641,113,2023-06-15,115795
1642,323,2023-04-28,59243
1643,359,2023-06-25,149615
1644,408,2023-04-26,134671
1645,164,2023-05-26,144692
1646,487,2023-05-02,107070
1647,365,2023-04-01,64101
1648,80,2023-06-05,58233
1649,499,2023-06-15,49065
1650,466,2023-05-12,133719
