fecha,categoria,region,segmento,ventas,beneficio
2024-08-18,Hogar,Sur,Empresa,185002,55054
2024-04-23,Tecnologia,Sur,Retail,237202,54813
2024-09-08,Hogar,Centro,Empresa,116649,31618
2024-12-10,Hogar,Centro,Empresa,66801,19837
2023-03-14,Vestuario,Norte,Retail,13213,4966
2023-04-01,Deportes,Sur,Empresa,77030,21747
2023-07-16,Deportes,Centro,Retail,69292,19210
2024-10-14,Deportes,Centro,Retail,43768,14384
2023-03-06,Deportes,Centro,Empresa,69340,24918
2023-08-05,Tecnologia,Sur,Empresa,344175,80893
2024-11-11,Vestuario,Centro,Empresa,49766,20368
2023-08-23,Deportes,Norte,Empresa,26186,6945
2024-11-15,Deportes,Norte,Empresa,61932,19305
2023-08-10,Electrodomesticos,Norte,Empresa,169346,31044
2023-01-23,Vestuario,Sur,Empresa,57721,20349
2023-01-10,Vestuario,Sur,Retail,55060,19906
2023-02-05,Deportes,Norte,Empresa,53690,14892
2023-03-09,Hogar,Centro,Empresa,63631,18680
2024-10-30,Electrodomesticos,Centro,Retail,153460,32875
2024-05-25,Electrodomesticos,Centro,Retail,173335,37429
2024-12-08,Electrodomesticos,Sur,Retail,104377,19157
2023-03-28,Tecnologia,Norte,Empresa,108391,23846
2024-07-01,Deportes,Norte,Empresa,88341,26087
2024-10-14,Hogar,Sur,Retail,93949,28015
2023-07-25,Electrodomesticos,Centro,Retail,280671,47437
2023-03-25,Hogar,Centro,Empresa,69885,18889
2024-01-20,Tecnologia,Norte,Empresa,189262,39641
2024-04-19,Tecnologia,Norte,Empresa,215202,52196
2024-11-26,Vestuario,Norte,Empresa,30417,12629
2023-06-07,Vestuario,Centro,Retail,27142,10079
2024-03-11,Tecnologia,Sur,Empresa,204319,54317
2023-09-08,Tecnologia,Centro,Retail,156279,35173
2023-01-13,Tecnologia,Sur,Empresa,222916,54117
2024-09-19,Deportes,Sur,Retail,64291,23028
2023-12-11,Hogar,Centro,Empresa,61577,15962
2024-11-07,Hogar,Sur,Empresa,101221,26264
2023-12-09,Tecnologia,Norte,Empresa,92876,23461
2023-12-20,Vestuario,Centro,Empresa,60142,16542
2024-10-15,Tecnologia,Sur,Retail,242532,59718
2024-06-12,Tecnologia,Norte,Retail,114052,28335
2024-11-11,Tecnologia,Norte,Empresa,87546,18308
2023-05-05,Vestuario,Norte,Empresa,42440,15575
2024-11-12,Hogar,Sur,Empresa,108050,30924
2024-06-09,Electrodomesticos,Norte,Retail,112109,23291
2024-04-14,Electrodomesticos,Sur,Empresa,197313,33604
2023-11-04,Vestuario,Sur,Empresa,36044,14390
2023-09-04,Deportes,Norte,Empresa,79601,21718
2023-11-01,Tecnologia,Norte,Retail,155357,37693
2024-08-15,Vestuario,Sur,Empresa,13931,4453
2024-03-25,Tecnologia,Centro,Retail,225409,43524
2023-02-04,Deportes,Sur,Retail,101554,27067
2023-01-14,Deportes,Centro,Empresa,33482,8709
2024-09-23,Hogar,Centro,Retail,96378,25876
2023-02-06,Vestuario,Sur,Retail,32851,11624
2024-12-08,Tecnologia,Sur,Empresa,129306,29168
2023-12-14,Electrodomesticos,Sur,Retail,196352,36611
2023-05-31,Deportes,Sur,Empresa,40419,13219
2023-04-22,Vestuario,Norte,Retail,47548,18028
2024-01-01,Hogar,Sur,Retail,127442,34298
2023-08-26,Hogar,Sur,Retail,121045,31489
2023-06-26,Electrodomesticos,Sur,Retail,192863,29086
2024-04-04,Hogar,Norte,Retail,117528,32993
2024-06-12,Electrodomesticos,Norte,Retail,66016,12279
2024-08-29,Electrodomesticos,Norte,Empresa,130181,28394
2024-06-04,Hogar,Sur,Empresa,101567,34988
2023-05-12,Tecnologia,Norte,Retail,225928,45414
2024-04-04,Electrodomesticos,Sur,Retail,177115,32655
2023-10-09,Deportes,Norte,Retail,84659,21433
2023-04-30,Vestuario,Sur,Retail,41032,13530
2023-04-09,Vestuario,Centro,Retail,48732,17398
2023-06-19,Deportes,Sur,Empresa,72458,23203
2023-06-05,Vestuario,Sur,Retail,42258,15944
2023-09-03,Vestuario,Centro,Retail,38963,13078
2024-04-25,Hogar,Norte,Empresa,106422,30383
2023-06-04,Electrodomesticos,Norte,Empresa,104964,23109
2024-03-25,Deportes,Norte,Empresa,42900,10910
2023-01-28,Hogar,Centro,Retail,132695,39117
2023-08-18,Vestuario,Sur,Empresa,51197,16789
2023-02-04,Deportes,Norte,Empresa,33188,9738
2024-08-29,Electrodomesticos,Centro,Empresa,157442,28374
2024-09-23,Vestuario,Norte,Empresa,46474,18284
2024-11-18,Vestuario,Norte,Retail,27711,7848
2024-11-08,Tecnologia,Centro,Empresa,156053,28611
2023-02-15,Deportes,Norte,Empresa,10000,3456
2023-02-28,Hogar,Norte,Empresa,100918,26485
2023-05-09,Deportes,Centro,Retail,56102,19764
2023-07-10,Deportes,Sur,Empresa,90707,29655
2023-10-04,Vestuario,Sur,Retail,50211,15705
2024-12-01,Electrodomesticos,Centro,Empresa,152978,24932
2023-05-22,Hogar,Sur,Empresa,162482,40734
2023-11-01,Hogar,Centro,Retail,51559,12079
2023-02-25,Electrodomesticos,Norte,Retail,204919,30734
2024-12-14,Deportes,Centro,Empresa,78851,24332
2024-10-02,Vestuario,Sur,Empresa,41758,18260
2023-05-20,Vestuario,Centro,Retail,36380,13365
2023-05-20,Deportes,Sur,Retail,36889,10183
2024-02-02,Tecnologia,Sur,Empresa,227509,46187
2023-04-10,Electrodomesticos,Norte,Empresa,158071,30411
2023-10-06,Vestuario,Centro,Retail,46283,15526
2023-03-20,Electrodomesticos,Norte,Empresa,163005,23134
2024-03-04,Hogar,Sur,Retail,85706,26547
2024-01-19,Electrodomesticos,Norte,Retail,258112,49691
2023-06-24,Vestuario,Sur,Retail,47420,16875
2024-06-25,Hogar,Sur,Empresa,69532,21342
2024-06-25,Electrodomesticos,Sur,Retail,210558,35861
2024-07-19,Electrodomesticos,Sur,Retail,73218,13752
2023-07-17,Hogar,Norte,Retail,136891,36612
2024-05-02,Tecnologia,Sur,Retail,196771,45075
2024-05-08,Deportes,Centro,Retail,87494,27596
2023-05-24,Hogar,Norte,Empresa,64137,19479
2024-03-10,Deportes,Norte,Retail,58210,17513
2024-01-03,Tecnologia,Sur,Empresa,236008,42371
2023-07-03,Tecnologia,Norte,Empresa,234406,46017
2023-02-08,Hogar,Centro,Retail,75702,23759
2024-10-10,Hogar,Sur,Empresa,134957,34687
2023-09-09,Hogar,Centro,Retail,60766,14420
2024-08-17,Vestuario,Centro,Empresa,31535,12806
2023-11-23,Hogar,Sur,Empresa,101167,25511
2023-10-29,Vestuario,Sur,Empresa,42922,13017
2023-06-11,Hogar,Sur,Retail,92030,27568
2024-01-22,Tecnologia,Sur,Empresa,91225,21817
2023-07-04,Vestuario,Norte,Empresa,69976,26768
2024-05-20,Electrodomesticos,Norte,Retail,129150,25436
2023-04-18,Tecnologia,Centro,Empresa,118552,23330
2023-01-12,Vestuario,Norte,Retail,79105,24178
2024-05-28,Electrodomesticos,Sur,Empresa,115040,20182
2023-03-04,Electrodomesticos,Centro,Retail,165079,33641
2024-12-04,Hogar,Norte,Empresa,121404,38615
2023-01-01,Hogar,Norte,Empresa,120668,34781
2024-01-09,Electrodomesticos,Norte,Empresa,82074,14991
2024-12-17,Hogar,Norte,Empresa,70745,18382
2023-06-26,Tecnologia,Centro,Empresa,162028,43098
2024-10-12,Hogar,Centro,Empresa,128384,39657
2023-11-25,Tecnologia,Centro,Empresa,111889,24614
2023-12-30,Tecnologia,Sur,Empresa,166147,37622
2024-05-14,Tecnologia,Norte,Empresa,232564,50445
2023-12-22,Electrodomesticos,Centro,Retail,166672,31998
2023-03-01,Tecnologia,Centro,Empresa,205677,48904
2023-11-04,Hogar,Centro,Retail,10000,2524
2023-06-28,Electrodomesticos,Norte,Retail,151304,24475
2024-06-12,Electrodomesticos,Centro,Empresa,99103,13258
2024-08-18,Tecnologia,Sur,Retail,221644,47138
2024-01-01,Electrodomesticos,Norte,Retail,107998,22775
2024-09-17,Deportes,Sur,Empresa,54335,17702
2024-09-01,Vestuario,Centro,Empresa,48623,18070
2023-05-30,Deportes,Sur,Retail,18304,5399
2024-03-20,Tecnologia,Norte,Empresa,151910,35712
2024-01-15,Hogar,Norte,Empresa,187601,60532
2023-06-24,Tecnologia,Sur,Empresa,261284,48984
2023-03-25,Vestuario,Sur,Empresa,48374,16523
2023-06-05,Vestuario,Norte,Retail,22620,8171
2023-09-04,Tecnologia,Sur,Retail,243461,55327
2023-10-22,Electrodomesticos,Centro,Retail,211549,43216
2024-04-16,Vestuario,Norte,Empresa,39048,16339
2024-01-27,Deportes,Sur,Empresa,45473,13338
2024-03-01,Tecnologia,Sur,Retail,176774,37182
2023-09-23,Vestuario,Sur,Empresa,21358,8266
2023-03-17,Deportes,Norte,Retail,107200,33775
2023-01-21,Hogar,Centro,Retail,98809,26647
2023-04-23,Tecnologia,Sur,Retail,208938,48657
2024-06-22,Electrodomesticos,Centro,Retail,149813,25339
2024-01-25,Deportes,Norte,Retail,10000,2990
2023-10-18,Vestuario,Sur,Retail,67163,23650
2023-03-30,Hogar,Sur,Empresa,43715,11235
2023-02-11,Hogar,Centro,Retail,41827,9288
2024-02-20,Tecnologia,Sur,Retail,275114,61582
2024-03-07,Electrodomesticos,Sur,Retail,185951,26085
2024-07-13,Hogar,Norte,Retail,113093,33877
2024-05-10,Tecnologia,Sur,Empresa,258935,50993
2023-06-04,Deportes,Norte,Empresa,35849,12127
2024-06-22,Electrodomesticos,Centro,Retail,196127,34252
2023-04-11,Electrodomesticos,Norte,Empresa,202321,42820
2023-06-02,Electrodomesticos,Sur,Empresa,177194,33585
2024-11-11,Hogar,Sur,Empresa,126258,37990
2024-06-22,Electrodomesticos,Sur,Empresa,152089,27610
2024-12-26,Tecnologia,Norte,Retail,61320,11717
2024-11-16,Deportes,Norte,Retail,124178,34971
2024-12-20,Hogar,Norte,Retail,37977,12069
2023-05-13,Vestuario,Norte,Empresa,73334,22297
2023-09-01,Deportes,Norte,Retail,65764,19294
2023-02-19,Hogar,Sur,Retail,84743,21729
2024-05-21,Electrodomesticos,Centro,Retail,113454,19413
2024-12-16,Vestuario,Norte,Retail,53706,18438
2023-11-22,Vestuario,Norte,Retail,48647,17291
2024-09-12,Deportes,Norte,Empresa,60547,16979
2024-09-06,Tecnologia,Norte,Retail,125965,26677
2023-05-04,Tecnologia,Norte,Retail,178993,33735
2024-10-04,Electrodomesticos,Centro,Empresa,115984,22925
2024-10-11,Tecnologia,Sur,Retail,128534,28623
2023-05-12,Electrodomesticos,Norte,Empresa,80101,16235
2024-03-23,Vestuario,Norte,Empresa,66290,23798
2023-12-04,Hogar,Sur,Empresa,99192,29068
2024-03-26,Electrodomesticos,Sur,Retail,152394,25481
2023-11-25,Electrodomesticos,Norte,Retail,208364,34779
2024-10-03,Deportes,Centro,Empresa,74496,25194
2024-11-09,Tecnologia,Sur,Retail,104733,22706
2023-07-20,Tecnologia,Norte,Empresa,180851,31207
2024-05-06,Vestuario,Sur,Empresa,37205,13115
2023-04-25,Deportes,Centro,Empresa,35617,11754
2023-10-11,Vestuario,Centro,Retail,71286,28643
