fecha,categoria,region,ventas,beneficio
2024-02-29,Deportes,Centro,58442,16771
2023-02-10,Hogar,Sur,79531,24542
2024-03-26,Tecnologia,Centro,165007,44589
2024-06-25,Deportes,Norte,75533,24811
2024-12-16,Vestuario,Norte,41140,15399
2023-05-02,Deportes,Sur,98491,30864
2024-12-07,Hogar,Centro,160290,44877
2023-11-01,Deportes,Norte,84526,26005
2024-05-21,Deportes,Sur,44419,14612
2022-03-17,Electrodomesticos,Norte,263514,50080
2023-06-05,Deportes,Centro,34720,10720
2024-10-05,Vestuario,Norte,49537,20653
2022-12-29,Tecnologia,Norte,132179,31510
2024-02-18,Vestuario,Norte,53793,19971
2022-12-29,Hogar,Norte,112305,29883
2022-09-13,Vestuario,Norte,42966,16022
2023-03-28,Hogar,Centro,181398,54056
2023-05-02,Vestuario,Sur,35604,12626
2023-12-20,Hogar,Centro,130366,44308
2023-08-22,Vestuario,Centro,56849,23914
2023-05-12,Vestuario,Norte,40268,12980
2023-02-03,Deportes,Centro,89409,27306
2024-12-03,Electrodomesticos,Centro,166679,32861
2023-12-17,Deportes,Norte,62807,17918
2023-05-08,Electrodomesticos,Centro,168896,34953
2023-12-08,Tecnologia,Norte,193317,41237
2023-10-27,Tecnologia,Norte,217221,57159
2024-10-29,Deportes,Sur,88582,30479
2023-10-16,Tecnologia,Centro,323707,70513
2022-12-12,Vestuario,Sur,50225,21652
2024-10-19,Vestuario,Sur,53524,17099
2022-09-21,Electrodomesticos,Norte,204748,47555
2024-08-13,Hogar,Centro,64198,17551
2022-04-22,Tecnologia,Norte,159537,31804
2023-12-12,Deportes,Centro,71206,25667
2022-10-06,Tecnologia,Centro,197225,56406
2022-07-27,Hogar,Sur,113158,33716
2022-11-18,Tecnologia,Norte,233853,56014
2022-06-29,Deportes,Centro,22911,8166
2022-01-13,Vestuario,Norte,90435,43619
2024-12-05,Tecnologia,Norte,405526,97727
2024-04-24,Deportes,Norte,92868,26273
2023-06-05,Deportes,Centro,62083,18314
2023-05-14,Hogar,Sur,142071,41850
2024-08-22,Electrodomesticos,Norte,113266,20619
2022-05-30,Hogar,Centro,52098,12879
2024-08-20,Electrodomesticos,Norte,243541,45321
2022-06-19,Electrodomesticos,Norte,152040,35069
2022-02-10,Tecnologia,Centro,225913,53254
2022-05-04,Vestuario,Sur,19553,7066
2024-11-08,Deportes,Centro,44782,14771
2024-09-25,Vestuario,Centro,44853,17415
2022-11-09,Hogar,Norte,81927,21315
2022-07-24,Electrodomesticos,Sur,178557,33509
2024-07-08,Deportes,Centro,48066,16951
2022-09-01,Vestuario,Norte,71114,26908
2023-09-08,Deportes,Sur,63395,17853
2022-09-03,Electrodomesticos,Sur,181784,35645
2023-07-25,Hogar,Centro,163189,53460
2024-05-05,Electrodomesticos,Centro,93853,16666
2022-11-01,Tecnologia,Sur,231379,48597
2023-02-16,Deportes,Centro,104843,29490
2023-12-01,Hogar,Sur,48666,16047
2023-03-17,Hogar,Norte,119937,41326
2024-02-02,Vestuario,Sur,58864,19170
2023-02-01,Hogar,Centro,89947,26329
2023-02-06,Hogar,Centro,121062,35461
2022-02-12,Tecnologia,Sur,209469,61339
2023-12-05,Vestuario,Centro,83720,26685
2023-02-18,Hogar,Norte,138695,38300
2024-03-22,Tecnologia,Norte,308931,75163
2022-03-20,Vestuario,Sur,36097,14493
2024-04-10,Vestuario,Norte,60279,25134
2022-06-08,Deportes,Norte,81656,27613
2024-07-12,Vestuario,Sur,49194,19690
2022-09-15,Vestuario,Centro,43102,13759
2024-05-23,Vestuario,Norte,42000,12914
2023-01-20,Vestuario,Sur,60225,21077
2023-03-13,Deportes,Sur,67554,20661
2023-12-11,Deportes,Sur,94822,25316
2023-05-01,Vestuario,Norte,61819,24315
2022-02-14,Electrodomesticos,Centro,155787,34304
2023-03-18,Hogar,Sur,76450,23155
2022-02-08,Vestuario,Centro,69991,22735
2023-03-18,Tecnologia,Sur,126445,28465
2023-04-28,Vestuario,Centro,46290,16506
2023-02-15,Vestuario,Sur,51605,17637
2023-08-15,Hogar,Centro,83143,21471
2024-02-20,Vestuario,Centro,47406,16628
2024-02-22,Electrodomesticos,Centro,229034,49804
2024-12-30,Hogar,Norte,58635,16995
2022-06-29,Vestuario,Norte,54553,23357
2023-03-29,Hogar,Sur,150650,51277
2022-03-31,Hogar,Centro,80179,19775
2023-06-15,Deportes,Norte,54668,14625
2022-01-10,Tecnologia,Norte,228962,60803
2024-10-13,Tecnologia,Norte,138092,29876
2023-10-09,Deportes,Centro,55940,19690
2024-11-28,Vestuario,Norte,20529,8349
2023-06-22,Tecnologia,Sur,242402,65834
2024-01-18,Hogar,Norte,130567,42587
