id_compra,cliente,fecha_compra,categoria,producto,unidades,ventas,beneficio
1,1,2022-06-03,Hogar,Hervidor,2,155094,35333
3,1,2022-06-26,Hogar,Organizador,1,155408,46472
6,1,2022-07-16,Vestuario,Buzo,1,46820,18924
4,1,2022-07-28,Deportes,Botella,1,88474,24196
5,1,2022-09-10,Hogar,Cafetera,2,207954,54249
2,1,2023-03-16,Electrodomesticos,Horno,3,425289,88062
7,2,2023-12-26,Vestuario,Buzo,1,38636,12088
14,2,2024-02-21,Vestuario,Buzo,1,44609,11001
13,2,2024-03-26,Vestuario,Camisa,3,108809,32336
15,2,2024-05-07,Vestuario,Camisa,1,27544,11674
8,2,2024-05-14,Hogar,Mesa,1,124313,31611
9,2,2024-05-31,Tecnologia,Mouse,4,876967,155533
10,2,2024-06-18,Vestuario,Vestido,2,58962,22155
11,2,2024-08-13,Deportes,Casco,1,58718,16992
12,2,2024-08-30,Deportes,Short,2,74219,26445
16,3,2023-10-01,Tecnologia,Smartwatch,2,386966,96203
20,3,2023-10-04,Hogar,Cafetera,1,112626,31377
17,3,2023-10-24,Tecnologia,Smartphone,2,706173,148372
19,3,2023-11-21,Deportes,Guantes,2,49000,11330
21,3,2024-04-14,Deportes,Poleron,2,172271,50811
18,3,2024-04-15,Tecnologia,Notebook,1,244604,54754
22,3,2024-06-20,Hogar,Mesa,1,82247,27412
23,4,2024-11-26,Hogar,Mesa,2,272906,69149
25,4,2024-12-21,Deportes,Casco,1,97960,28226
27,4,2024-12-21,Vestuario,Zapatillas,1,44215,15810
28,4,2024-12-21,Deportes,Raqueta,1,60747,17102
30,4,2024-12-22,Tecnologia,Router,4,308000,54568
29,4,2024-12-23,Deportes,Colchoneta,4,416241,129895
26,4,2024-12-27,Hogar,Alfombra,2,244368,61005
31,4,2024-12-27,Electrodomesticos,Aspiradora,3,509524,87627
24,4,2024-12-29,Vestuario,Calcetines,1,36760,12232
33,4,2024-12-30,Tecnologia,Impresora,3,625778,118634
34,4,2024-12-30,Electrodomesticos,Plancha,4,662804,113855
35,4,2024-12-30,Electrodomesticos,Aspiradora,1,235989,38939
32,4,2024-12-31,Electrodomesticos,Microondas,2,411019,67825
36,5,2023-07-28,Vestuario,Polera,3,113766,38195
40,5,2023-08-14,Tecnologia,Teclado,2,289912,61137
42,5,2023-08-23,Tecnologia,Router,1,148987,32285
47,5,2023-08-24,Deportes,Pesas,1,93480,30600
44,5,2023-09-06,Vestuario,Buzo,3,101663,33443
38,5,2023-09-19,Hogar,Mesa,4,126000,30584
46,5,2023-09-28,Tecnologia,Audifonos,3,416449,79997
41,5,2023-10-27,Vestuario,Zapatillas,3,90791,35451
45,5,2023-12-16,Vestuario,Buzo,1,28083,9341
37,5,2023-12-20,Electrodomesticos,Cocina,1,177725,28664
43,5,2024-04-08,Hogar,Cortinas,1,65188,18819
39,5,2024-05-24,Electrodomesticos,Horno,1,125422,21265
48,5,2024-09-11,Vestuario,Buzo,1,39221,12273
49,6,2024-11-08,Deportes,Guantes,1,72245,17585
52,6,2024-11-25,Vestuario,Chaqueta,2,92038,27034
54,6,2024-11-28,Hogar,Termo,1,56834,16015
58,6,2024-12-07,Tecnologia,Mouse,1,245352,50090
53,6,2024-12-08,Vestuario,Chaqueta,4,97443,29129
51,6,2024-12-22,Hogar,Organizador,2,99408,30537
56,6,2024-12-22,Hogar,Hervidor,6,821714,213718
55,6,2024-12-24,Tecnologia,Audifonos,2,362007,72325
50,6,2024-12-26,Deportes,Casco,1,109922,31786
57,6,2024-12-28,Electrodomesticos,Cocina,2,540422,82568
59,6,2024-12-28,Tecnologia,Notebook,1,157535,34753
60,7,2023-10-02,Hogar,Sofa,2,66352,17284
62,7,2023-10-07,Deportes,Colchoneta,1,54806,18174
65,7,2024-01-14,Hogar,Termo,1,140117,46126
63,7,2024-07-13,Tecnologia,Smartwatch,1,286751,50641
64,7,2024-08-15,Electrodomesticos,Refrigerador,4,566775,80788
66,7,2024-09-03,Tecnologia,Notebook,1,321948,70368
61,7,2024-11-18,Hogar,Silla,1,72652,17181
67,8,2023-02-20,Tecnologia,Notebook,1,250682,50714
74,8,2023-02-24,Hogar,Silla,5,783280,243081
70,8,2023-03-04,Electrodomesticos,Plancha,1,114747,17696
71,8,2023-05-24,Hogar,Silla,2,296669,58976
68,8,2023-06-14,Deportes,Raqueta,2,92058,28275
69,8,2023-06-28,Tecnologia,Mouse,2,451477,93187
72,8,2023-07-21,Hogar,Lampara,2,172552,57197
73,8,2023-08-02,Tecnologia,Mouse,2,457916,100143
75,9,2023-06-20,Hogar,Cafetera,1,63329,16269
79,9,2023-07-13,Electrodomesticos,Aspiradora,6,1137728,233978
76,9,2023-07-22,Electrodomesticos,Refrigerador,1,354863,61938
80,9,2023-07-30,Vestuario,Polera,2,61631,20245
78,9,2023-10-27,Deportes,Botella,2,143771,41197
77,9,2024-12-24,Electrodomesticos,Licuadora,2,385079,64282
81,10,2024-08-21,Vestuario,Calcetines,1,15365,5716
88,10,2024-08-24,Tecnologia,Teclado,2,299437,70529
84,10,2024-10-02,Tecnologia,Notebook,1,193176,46549
85,10,2024-10-04,Deportes,Guantes,4,313931,92300
87,10,2024-10-28,Hogar,Termo,1,45690,14479
83,10,2024-11-07,Electrodomesticos,Licuadora,1,239667,41036
86,10,2024-12-23,Deportes,Poleron,1,34726,10764
82,10,2024-12-31,Vestuario,Vestido,2,148953,53229
89,11,2023-01-11,Hogar,Organizador,3,376801,105465
93,11,2023-01-24,Tecnologia,Audifonos,1,228755,42281
91,11,2023-01-28,Electrodomesticos,Licuadora,1,156619,26985
94,11,2023-02-22,Electrodomesticos,Lavadora,1,147412,29020
92,11,2023-04-26,Tecnologia,Monitor,2,599791,108432
90,11,2023-05-06,Hogar,Cafetera,2,94078,22074
95,12,2023-03-15,Electrodomesticos,Licuadora,3,252263,44638
101,12,2023-03-25,Deportes,Poleron,1,99351,26133
98,12,2023-04-10,Tecnologia,Mouse,1,229584,46432
96,12,2023-05-04,Electrodomesticos,Secadora,1,215152,34261
106,12,2023-06-02,Hogar,Hervidor,1,143376,39320
102,12,2023-06-20,Vestuario,Camisa,1,38480,15360
99,12,2023-06-25,Deportes,Balon,1,88220,29084
97,12,2023-07-14,Vestuario,Calcetines,2,85300,23402
100,12,2023-07-14,Vestuario,Polera,1,68073,21875
105,12,2023-10-06,Electrodomesticos,Microondas,2,543741,100011
104,12,2023-10-28,Vestuario,Zapatillas,5,252873,94960
103,12,2023-12-09,Tecnologia,Teclado,1,170943,36360
107,13,2023-08-09,Deportes,Pesas,3,191142,54913
110,13,2023-08-17,Tecnologia,Smartwatch,3,638292,99106
114,13,2023-09-28,Vestuario,Zapatillas,1,25794,8873
113,13,2023-10-17,Vestuario,Calcetines,1,15232,5154
109,13,2023-11-10,Hogar,Cortinas,3,225347,48997
111,13,2023-12-20,Tecnologia,Impresora,1,297965,54593
115,13,2024-03-10,Tecnologia,Mouse,5,1313676,248927
112,13,2024-06-28,Electrodomesticos,Licuadora,1,85131,12140
108,13,2024-06-30,Deportes,Casco,2,130403,37089
116,14,2024-09-26,Hogar,Lampara,1,104765,33696
119,14,2024-10-03,Deportes,Guantes,4,169404,49072
123,14,2024-10-06,Deportes,Bicicleta,1,94892,29127
121,14,2024-10-30,Electrodomesticos,Lavadora,1,63000,12387
124,14,2024-12-21,Electrodomesticos,Lavadora,1,183823,34113
122,14,2024-12-24,Tecnologia,Impresora,2,505161,88755
125,14,2024-12-24,Hogar,Alfombra,1,92130,24572
118,14,2024-12-25,Electrodomesticos,Refrigerador,1,114191,19371
120,14,2024-12-29,Electrodomesticos,Cocina,1,350709,47838
117,14,2024-12-31,Hogar,Hervidor,2,254548,68020
126,15,2024-01-28,Hogar,Hervidor,2,85145,28277
128,15,2024-02-12,Tecnologia,Monitor,4,752836,198212
137,15,2024-04-05,Hogar,Sofa,1,111269,25129
132,15,2024-04-28,Hogar,Cafetera,1,88304,30406
139,15,2024-05-08,Deportes,Casco,2,144093,47369
141,15,2024-06-15,Deportes,Pesas,1,96224,25654
138,15,2024-06-24,Vestuario,Vestido,3,174439,46654
136,15,2024-07-20,Tecnologia,Impresora,1,207858,45727
131,15,2024-08-03,Vestuario,Camisa,1,27525,11131
129,15,2024-08-07,Vestuario,Chaqueta,2,81867,28797
134,15,2024-08-12,Electrodomesticos,Lavadora,1,258672,44467
130,15,2024-09-29,Vestuario,Jeans,2,86929,27972
140,15,2024-10-01,Electrodomesticos,Aspiradora,1,140887,23643
127,15,2024-12-18,Tecnologia,Tablet,1,147451,23151
133,15,2024-12-21,Deportes,Short,1,85912,22012
135,15,2024-12-26,Tecnologia,Audifonos,1,294001,61607
142,16,2023-05-30,Hogar,Cafetera,5,499935,152428
145,16,2023-06-20,Vestuario,Gorro,1,21388,7208
144,16,2023-08-01,Electrodomesticos,Microondas,1,196661,35791
143,16,2023-08-06,Electrodomesticos,Cocina,3,320360,66480
146,16,2023-08-06,Deportes,Bicicleta,2,85736,24489
147,17,2024-06-08,Hogar,Silla,1,115058,36926
153,17,2024-06-08,Hogar,Mesa,1,83457,23357
148,17,2024-06-21,Hogar,Lampara,2,166087,49932
152,17,2024-06-23,Electrodomesticos,Microondas,3,430960,91748
151,17,2024-08-17,Vestuario,Calcetines,2,39139,15567
150,17,2024-09-18,Tecnologia,Tablet,2,378761,64205
149,17,2024-10-15,Vestuario,Chaqueta,1,33548,8475
154,17,2024-12-21,Vestuario,Chaqueta,2,80454,28008
155,17,2024-12-25,Deportes,Balon,1,32282,7647
156,18,2024-07-06,Deportes,Raqueta,2,164935,38675
159,18,2024-07-10,Deportes,Guantes,2,140699,37470
158,18,2024-07-19,Electrodomesticos,Cocina,2,366525,58643
161,18,2024-09-16,Electrodomesticos,Refrigerador,2,388838,67297
160,18,2024-09-27,Tecnologia,Monitor,2,154000,33308
157,18,2024-12-29,Deportes,Guantes,5,269218,78315
162,18,2024-12-29,Electrodomesticos,Lavadora,1,312479,49694
163,19,2022-02-06,Deportes,Raqueta,3,264937,61784
169,19,2022-02-24,Deportes,Raqueta,1,84059,30242
167,19,2022-02-26,Tecnologia,Monitor,1,220811,40814
170,19,2022-02-26,Vestuario,Gorro,1,34662,10710
172,19,2022-02-28,Tecnologia,Smartphone,2,527230,100161
166,19,2022-03-05,Hogar,Silla,1,129487,37931
164,19,2022-03-30,Electrodomesticos,Plancha,1,85898,17311
171,19,2022-04-04,Electrodomesticos,Cocina,1,118159,19825
173,19,2022-04-30,Tecnologia,Notebook,1,330803,65291
168,19,2022-06-25,Vestuario,Pantalon,1,24120,6384
174,19,2022-10-28,Electrodomesticos,Microondas,1,266816,37739
165,19,2023-01-27,Vestuario,Vestido,3,71063,25910
175,20,2023-12-27,Deportes,Pesas,4,306425,87425
181,20,2024-02-11,Deportes,Pesas,3,157828,50489
178,20,2024-02-20,Deportes,Bicicleta,2,167738,57694
185,20,2024-02-22,Vestuario,Gorro,1,46102,15679
179,20,2024-03-08,Deportes,Pesas,1,83880,28541
177,20,2024-03-22,Electrodomesticos,Microondas,3,695571,87642
184,20,2024-04-08,Hogar,Cafetera,4,413776,116771
186,20,2024-04-12,Deportes,Botella,4,118122,39992
180,20,2024-04-14,Hogar,Lampara,1,117321,37213
183,20,2024-06-11,Hogar,Organizador,3,201376,59904
187,20,2024-06-19,Hogar,Lampara,1,135944,36324
182,20,2024-08-05,Deportes,Guantes,1,67805,22474
176,20,2024-11-11,Tecnologia,Monitor,1,241050,44075
188,21,2023-08-08,Tecnologia,Teclado,1,299581,61142
192,21,2023-08-16,Vestuario,Chaqueta,3,45216,12492
194,21,2023-09-01,Tecnologia,Smartphone,2,677446,158527
193,21,2023-10-26,Electrodomesticos,Cocina,1,327784,64341
189,21,2023-12-27,Deportes,Pesas,1,91167,21318
190,21,2024-01-28,Electrodomesticos,Microondas,1,129974,23301
195,21,2024-05-22,Hogar,Sofa,2,135100,45456
196,21,2024-12-10,Electrodomesticos,Cocina,1,168959,28351
191,21,2024-12-30,Electrodomesticos,Purificador,4,686613,95710
197,22,2023-07-10,Vestuario,Gorro,1,55382,19202
202,22,2023-07-20,Vestuario,Polera,2,46963,15757
212,22,2023-07-29,Electrodomesticos,Refrigerador,1,104192,19795
203,22,2023-08-02,Hogar,Termo,3,193600,44386
209,22,2023-08-08,Deportes,Botella,1,59859,12570
204,22,2023-08-15,Tecnologia,Audifonos,1,146048,24259
205,22,2023-08-15,Electrodomesticos,Horno,3,713570,128354
201,22,2023-09-01,Hogar,Organizador,1,94718,20107
207,22,2023-09-13,Tecnologia,Notebook,3,802008,170617
199,22,2023-09-19,Tecnologia,Smartwatch,1,246967,51156
198,22,2023-09-27,Hogar,Hervidor,2,139940,36604
211,22,2023-10-07,Vestuario,Buzo,4,61556,23140
213,22,2023-10-14,Hogar,Hervidor,2,272607,77654
214,22,2023-10-31,Tecnologia,Monitor,1,282612,63169
208,22,2024-02-10,Tecnologia,Monitor,1,293632,68282
200,22,2024-04-03,Deportes,Casco,1,120324,34187
210,22,2024-04-28,Electrodomesticos,Licuadora,3,538133,81625
206,22,2024-07-12,Deportes,Raqueta,4,314264,91743
215,23,2023-03-22,Vestuario,Jeans,2,27546,9730
217,23,2023-03-28,Hogar,Cafetera,3,94500,23356
220,23,2023-04-03,Vestuario,Gorro,1,29956,10147
222,23,2023-06-28,Hogar,Lampara,2,173273,52969
218,23,2023-08-01,Hogar,Termo,1,93335,26948
216,23,2023-08-27,Deportes,Balon,3,114027,35931
221,23,2023-10-02,Vestuario,Pantalon,2,33649,10565
219,23,2023-10-14,Electrodomesticos,Licuadora,2,215208,32931
223,24,2022-12-13,Hogar,Silla,2,214703,62668
226,24,2022-12-26,Electrodomesticos,Microondas,1,322357,61219
235,24,2022-12-26,Tecnologia,Monitor,2,224988,37472
224,24,2023-01-02,Vestuario,Jeans,2,88792,36785
233,24,2023-01-03,Vestuario,Vestido,1,28352,9203
228,24,2023-01-09,Vestuario,Pantalon,2,62634,23513
231,24,2023-01-10,Vestuario,Polera,1,25404,8516
234,24,2023-01-28,Vestuario,Jeans,4,203894,73214
