fecha,region,ciudad,latitud,longitud,eventos,poblacion
2023-02-27,Centro,Rancagua,-34.157412281150954,-70.71981478918617,41,232211
2024-11-13,Sur,Concepcion,-36.830557815902,-73.03316594153209,52,223574
2024-11-06,Centro,Rancagua,-34.1861684654682,-70.75376849856968,47,232211
2023-05-17,Sur,Temuco,-38.74357045094819,-72.59722557592511,58,282415
2024-05-01,Sur,Temuco,-38.733169738310046,-72.61316524054207,57,282415
2023-06-17,Norte,Antofagasta,-23.674137737155423,-70.40942019605718,76,425725
2024-11-01,Centro,Valparaiso,-33.06773190611648,-71.6096972025901,55,296655
2023-01-20,Centro,Rancagua,-34.16422743259648,-70.73670617994095,44,232211
2024-02-27,Centro,Rancagua,-34.1642306574771,-70.7522157053718,40,232211
2023-04-10,Sur,Concepcion,-36.82431240963809,-73.03575831397214,53,223574
2023-04-04,Sur,Concepcion,-36.822110371778464,-73.05987526107751,39,223574
2024-07-05,Norte,Iquique,-20.231775962213913,-70.12138880238447,52,191468
2024-05-22,Centro,Santiago,-33.43495181698397,-70.6715121362955,1101,5614000
2024-06-01,Norte,Arica,-18.468992378157566,-70.31592998825525,52,247552
2024-07-28,Centro,Santiago,-33.455852278399036,-70.65734268148823,1089,5614000
2023-05-28,Sur,Concepcion,-36.819041823184676,-73.02540347497536,55,223574
2024-03-12,Centro,Rancagua,-34.18731589377118,-70.73929545738237,44,232211
2023-05-13,Sur,Concepcion,-36.8260069619934,-73.07021146090787,49,223574
2024-08-12,Norte,Arica,-18.48965118836558,-70.31215865007195,59,247552
2023-03-18,Norte,Antofagasta,-23.63907362151852,-70.40186997256981,82,425725
2024-06-30,Sur,Concepcion,-36.84971197463815,-73.02657554975829,44,223574
2023-04-23,Centro,Rancagua,-34.15878021195948,-70.73800207527512,39,232211
2024-01-10,Norte,Iquique,-20.2340272312819,-70.12208858828798,40,191468
2024-01-03,Norte,Iquique,-20.228619934557397,-70.13090340388142,38,191468
2023-02-20,Centro,Rancagua,-34.1420270731939,-70.74612203463191,47,232211
2023-11-07,Centro,Santiago,-33.44688988512332,-70.67236902049294,1166,5614000
2023-11-29,Centro,Rancagua,-34.16813055989888,-70.74347495843986,40,232211
2023-08-28,Sur,Temuco,-38.7425759267524,-72.60022804072102,62,282415
2023-07-16,Centro,Rancagua,-34.15432577123391,-70.73629059335056,51,232211
2023-04-08,Sur,Temuco,-38.736610089206486,-72.57683034946133,62,282415
2024-10-03,Sur,Temuco,-38.72508780267881,-72.58235616512523,59,282415
2024-05-29,Norte,Arica,-18.485514831349022,-70.3183375841432,46,247552
2023-01-22,Norte,Arica,-18.456517217029585,-70.31227098443166,56,247552
2023-02-19,Sur,Temuco,-38.73468575055084,-72.61020253271671,66,282415
2023-06-22,Norte,Arica,-18.489466365487882,-70.31956224438336,34,247552
2024-09-01,Norte,Arica,-18.4894820315341,-70.31522296003915,48,247552
2024-06-17,Centro,Valparaiso,-33.049602823847735,-71.62146879682808,55,296655
2023-12-11,Norte,Arica,-18.459800848845383,-70.30693422861087,47,247552
2023-03-11,Sur,Concepcion,-36.82767097823238,-73.04298462356488,39,223574
2024-07-08,Norte,Arica,-18.481358762329428,-70.29859542546178,53,247552
2023-05-23,Centro,Rancagua,-34.15745500582455,-70.75530785845292,37,232211
2023-08-27,Sur,Temuco,-38.73678028446736,-72.59350135784321,55,282415
2024-12-17,Norte,Antofagasta,-23.65716618463693,-70.40356317345203,77,425725
2023-01-05,Centro,Valparaiso,-33.04514263211822,-71.6266269940022,41,296655
2024-08-28,Centro,Rancagua,-34.17306877294947,-70.74439112971658,38,232211
2024-04-24,Sur,Concepcion,-36.82762037235689,-73.05935571953614,49,223574
2024-07-27,Sur,Temuco,-38.749373593153905,-72.59263953660965,51,282415
2024-01-20,Centro,Santiago,-33.44564231195197,-70.6595609260114,1169,5614000
2024-03-03,Norte,Iquique,-20.235186516061788,-70.14673187665825,44,191468
2024-06-23,Norte,Antofagasta,-23.652441294053038,-70.3905045418447,76,425725
2024-02-26,Sur,PuertoMontt,-41.47653642571144,-72.91800404925263,53,245902
2024-03-05,Centro,Rancagua,-34.15910920636957,-70.72839160911803,41,232211
2024-09-25,Norte,Iquique,-20.229586827221638,-70.11978403228439,35,191468
2023-08-08,Centro,Rancagua,-34.180883479953955,-70.74874107761175,56,232211
2024-10-26,Sur,PuertoMontt,-41.460676937260025,-72.93649302530305,53,245902
2024-02-04,Norte,Antofagasta,-23.646011505254187,-70.40420687808403,110,425725
2024-12-06,Centro,Rancagua,-34.16773588697462,-70.7432902405247,46,232211
2024-11-08,Centro,Rancagua,-34.16434443795756,-70.741259982936,54,232211
2024-11-10,Norte,Arica,-18.45748451936268,-70.32248308542798,43,247552
2023-02-03,Norte,Arica,-18.472504946277457,-70.30866939380834,30,247552
2023-08-27,Norte,Arica,-18.486288007299876,-70.31005543096335,45,247552
2024-06-27,Norte,Iquique,-20.23279727382921,-70.11369133640324,39,191468
2024-08-09,Centro,Santiago,-33.45312290380959,-70.6771244180026,1094,5614000
2024-10-27,Sur,Temuco,-38.73957524454298,-72.57734916178909,58,282415
2023-02-25,Sur,Temuco,-38.742417828124445,-72.58928579849085,60,282415
2024-10-02,Centro,Santiago,-33.45471381362932,-70.6774190087863,1131,5614000
2024-06-14,Norte,Iquique,-20.245621901800284,-70.14367446996442,30,191468
2023-03-13,Sur,PuertoMontt,-41.473461335756376,-72.94668392175723,48,245902
2024-03-20,Norte,Arica,-18.47163381395235,-70.30347479634015,47,247552
2023-04-14,Sur,PuertoMontt,-41.48272545172717,-72.91969832367778,55,245902
2024-10-12,Sur,Temuco,-38.71387316582932,-72.58204657020316,38,282415
2023-02-02,Centro,Valparaiso,-33.034209670755715,-71.63239059866494,64,296655
