id,categoria,ventas,margen,frecuencia
1,Tecnologia,565394,238319,5
2,Electrodomesticos,605435,254381,7
3,Vestuario,788722,198408,7
4,Electrodomesticos,768314,305533,7
5,Electrodomesticos,1179061,469400,5
6,Deportes,359916,134972,10
7,Tecnologia,363819,107417,7
8,Electrodomesticos,150491,47838,7
9,Electrodomesticos,338675,58115,8
10,Electrodomesticos,1233015,539538,5
11,Vestuario,376635,77212,7
12,Tecnologia,730061,187641,5
13,Deportes,481754,137462,7
14,Deportes,829068,315032,8
15,Tecnologia,751792,211052,7
16,Tecnologia,631453,196172,8
17,Vestuario,629360,177387,4
18,Deportes,280997,63629,12
19,Tecnologia,301322,125669,10
20,Electrodomesticos,394804,99964,8
21,Vestuario,933905,303018,5
22,Deportes,425068,163859,9
23,Vestuario,450588,154922,6
24,Deportes,221235,82515,9
25,Deportes,585819,172965,4
26,Hogar,485392,218202,5
27,Electrodomesticos,167120,69956,9
28,Deportes,263992,72009,5
29,Vestuario,765116,320289,5
30,Electrodomesticos,478469,111944,5
31,Vestuario,306412,92851,9
32,Deportes,978897,276641,7
33,Deportes,1317296,535638,8
34,Tecnologia,291624,59971,12
35,Deportes,380581,128197,7
36,Electrodomesticos,409554,94447,5
37,Deportes,483668,132159,7
38,Tecnologia,309131,124046,8
39,Deportes,894439,295668,9
40,Deportes,389134,121243,8
41,Deportes,804666,294811,7
42,Electrodomesticos,386146,109194,5
43,Electrodomesticos,176548,43984,10
44,Hogar,429726,78983,8
45,Tecnologia,539399,152466,8
46,Deportes,720568,285641,6
47,Vestuario,433023,179497,6
48,Vestuario,166971,39392,10
49,Electrodomesticos,186999,70987,3
50,Vestuario,685716,166552,5
51,Tecnologia,454097,128257,4
52,Vestuario,301568,76369,8
53,Electrodomesticos,254907,75471,7
54,Vestuario,293831,114197,7
55,Deportes,280715,60083,6
56,Deportes,260549,85642,6
57,Tecnologia,710064,319268,9
58,Deportes,647363,231671,10
59,Vestuario,415614,86499,8
60,Hogar,478376,181804,7
61,Hogar,849939,358603,7
62,Vestuario,836912,165985,3
63,Electrodomesticos,413155,134117,7
64,Hogar,1468216,360179,7
65,Electrodomesticos,631671,203507,5
66,Hogar,329224,144816,6
67,Electrodomesticos,270162,63974,6
68,Deportes,773295,132028,2
69,Deportes,1680121,557709,6
70,Tecnologia,380315,107553,9
71,Electrodomesticos,806896,306128,9
72,Tecnologia,472767,98275,9
