fecha,categoria,ventas,margen
2020-01-01,Tecnologia,756800,159602
2020-01-01,Hogar,419660,128501
2020-01-01,Vestuario,255709,94717
2020-01-01,Deportes,391344,135450
2020-01-01,Electrodomesticos,718209,157333
2020-02-01,Tecnologia,785941,278663
2020-02-01,Hogar,391031,81756
2020-02-01,Vestuario,359190,127897
2020-02-01,Deportes,383537,94704
2020-02-01,Electrodomesticos,791623,199117
2020-03-01,Tecnologia,929135,327139
2020-03-01,Hogar,453094,141626
2020-03-01,Vestuario,293287,87929
2020-03-01,Deportes,456808,104888
2020-03-01,Electrodomesticos,599202,139449
2020-04-01,Tecnologia,649744,237937
2020-04-01,Hogar,557307,124453
2020-04-01,Vestuario,287067,79180
2020-04-01,Deportes,468602,149214
2020-04-01,Electrodomesticos,591818,141817
2020-05-01,Tecnologia,719989,182537
2020-05-01,Hogar,515081,165360
2020-05-01,Vestuario,256041,93152
2020-05-01,Deportes,502567,104295
2020-05-01,Electrodomesticos,554186,168577
2020-06-01,Tecnologia,813425,201478
2020-06-01,Hogar,707614,243040
2020-06-01,Vestuario,204386,67982
2020-06-01,Deportes,515053,118109
2020-06-01,Electrodomesticos,674350,157136
2020-07-01,Tecnologia,804724,304538
2020-07-01,Hogar,481078,165552
2020-07-01,Vestuario,278097,78506
2020-07-01,Deportes,490428,182301
2020-07-01,Electrodomesticos,660768,120670
2020-08-01,Tecnologia,872134,168410
2020-08-01,Hogar,604839,191324
2020-08-01,Vestuario,254755,53717
2020-08-01,Deportes,358140,113891
2020-08-01,Electrodomesticos,698633,215812
2020-09-01,Tecnologia,865598,323678
2020-09-01,Hogar,568615,122624
2020-09-01,Vestuario,277179,68355
2020-09-01,Deportes,402048,141428
2020-09-01,Electrodomesticos,598595,121700
2020-10-01,Tecnologia,954090,173737
2020-10-01,Hogar,422205,124921
2020-10-01,Vestuario,298484,76356
2020-10-01,Deportes,462734,94164
2020-10-01,Electrodomesticos,762368,261170
2020-11-01,Tecnologia,798247,292051
2020-11-01,Hogar,621646,178433
2020-11-01,Vestuario,270108,84799
2020-11-01,Deportes,496507,122570
2020-11-01,Electrodomesticos,842506,212171
2020-12-01,Tecnologia,976172,187118
2020-12-01,Hogar,595638,172288
2020-12-01,Vestuario,299693,96417
2020-12-01,Deportes,370763,133424
2020-12-01,Electrodomesticos,713246,168308
2021-01-01,Tecnologia,894694,267376
2021-01-01,Hogar,611084,145194
2021-01-01,Vestuario,242740,77386
2021-01-01,Deportes,396488,75908
2021-01-01,Electrodomesticos,640277,122637
2021-02-01,Tecnologia,1050218,292478
2021-02-01,Hogar,549280,127060
2021-02-01,Vestuario,356054,98070
2021-02-01,Deportes,461796,126538
2021-02-01,Electrodomesticos,650554,164911
2021-03-01,Tecnologia,999273,274619
2021-03-01,Hogar,554163,180356
2021-03-01,Vestuario,298588,110771
2021-03-01,Deportes,451687,97887
2021-03-01,Electrodomesticos,745783,262311
2021-04-01,Tecnologia,1006763,331677
2021-04-01,Hogar,461668,130098
2021-04-01,Vestuario,292490,56470
2021-04-01,Deportes,439906,134133
2021-04-01,Electrodomesticos,718534,258295
2021-05-01,Tecnologia,987141,324786
2021-05-01,Hogar,514665,143197
2021-05-01,Vestuario,347711,115562
2021-05-01,Deportes,436336,110618
2021-05-01,Electrodomesticos,727687,261794
2021-06-01,Tecnologia,783371,216565
2021-06-01,Hogar,566150,165915
2021-06-01,Vestuario,291906,87084
2021-06-01,Deportes,382740,117765
2021-06-01,Electrodomesticos,748871,152836
2021-07-01,Tecnologia,948455,191359
2021-07-01,Hogar,562718,167225
2021-07-01,Vestuario,279654,62554
2021-07-01,Deportes,381478,140081
2021-07-01,Electrodomesticos,812859,165663
2021-08-01,Tecnologia,944701,182441
2021-08-01,Hogar,682880,154781
2021-08-01,Vestuario,302661,107853
2021-08-01,Deportes,499128,128755
2021-08-01,Electrodomesticos,763366,180696
2021-09-01,Tecnologia,894668,327854
2021-09-01,Hogar,659640,243809
2021-09-01,Vestuario,309507,63526
2021-09-01,Deportes,335673,69113
2021-09-01,Electrodomesticos,744848,223071
2021-10-01,Tecnologia,817640,222584
2021-10-01,Hogar,453993,100567
2021-10-01,Vestuario,377662,105401
2021-10-01,Deportes,414095,103691
2021-10-01,Electrodomesticos,741431,135466
2021-11-01,Tecnologia,884317,307536
2021-11-01,Hogar,425980,80991
2021-11-01,Vestuario,355370,130682
2021-11-01,Deportes,420027,98240
2021-11-01,Electrodomesticos,952165,258710
2021-12-01,Tecnologia,1115378,204736
2021-12-01,Hogar,523827,160976
2021-12-01,Vestuario,299197,61946
2021-12-01,Deportes,490093,168809
2021-12-01,Electrodomesticos,612572,175977
2022-01-01,Tecnologia,832659,279179
2022-01-01,Hogar,627867,142843
2022-01-01,Vestuario,355221,85528
2022-01-01,Deportes,542159,183425
2022-01-01,Electrodomesticos,690108,132652
2022-02-01,Tecnologia,782592,231029
2022-02-01,Hogar,554284,136453
2022-02-01,Vestuario,286331,103841
2022-02-01,Deportes,507637,158863
2022-02-01,Electrodomesticos,708876,205586
2022-03-01,Tecnologia,990238,299994
2022-03-01,Hogar,616854,142148
2022-03-01,Vestuario,375898,87803
2022-03-01,Deportes,515424,95013
2022-03-01,Electrodomesticos,688213,255575
2022-04-01,Tecnologia,777679,214102
2022-04-01,Hogar,550155,144734
2022-04-01,Vestuario,314607,83183
2022-04-01,Deportes,481900,170848
2022-04-01,Electrodomesticos,980040,184292
2022-05-01,Tecnologia,827959,302250
2022-05-01,Hogar,515303,138463
2022-05-01,Vestuario,293335,71389
2022-05-01,Deportes,421091,81955
2022-05-01,Electrodomesticos,792909,230469
2022-06-01,Tecnologia,921620,325537
2022-06-01,Hogar,483580,169744
2022-06-01,Vestuario,299604,93669
2022-06-01,Deportes,463895,105211
2022-06-01,Electrodomesticos,840651,231657
2022-07-01,Tecnologia,1088031,299142
2022-07-01,Hogar,559011,117357
2022-07-01,Vestuario,351428,72089
2022-07-01,Deportes,574492,156015
2022-07-01,Electrodomesticos,810279,260063
2022-08-01,Tecnologia,895678,263581
2022-08-01,Hogar,632417,141244
2022-08-01,Vestuario,306454,89256
2022-08-01,Deportes,577920,141133
2022-08-01,Electrodomesticos,837489,215229
2022-09-01,Tecnologia,1223931,290262
2022-09-01,Hogar,556303,174676
2022-09-01,Vestuario,350219,132915
2022-09-01,Deportes,445908,89861
2022-09-01,Electrodomesticos,751905,181001
2022-10-01,Tecnologia,1088794,275661
2022-10-01,Hogar,635662,226616
2022-10-01,Vestuario,279837,63922
2022-10-01,Deportes,518697,157293
2022-10-01,Electrodomesticos,625408,142782
2022-11-01,Tecnologia,937552,324056
2022-11-01,Hogar,676009,143986
2022-11-01,Vestuario,373822,85343
2022-11-01,Deportes,514406,106141
2022-11-01,Electrodomesticos,852612,295244
2022-12-01,Tecnologia,926516,252437
2022-12-01,Hogar,519174,153087
2022-12-01,Vestuario,287070,85914
2022-12-01,Deportes,448070,90493
2022-12-01,Electrodomesticos,670261,181358
2023-01-01,Tecnologia,825189,306353
2023-01-01,Hogar,504468,150640
2023-01-01,Vestuario,368754,86849
2023-01-01,Deportes,416638,143031
2023-01-01,Electrodomesticos,707883,153317
2023-02-01,Tecnologia,918273,290641
2023-02-01,Hogar,499804,158368
2023-02-01,Vestuario,252875,72228
2023-02-01,Deportes,570225,119289
2023-02-01,Electrodomesticos,806987,162800
2023-03-01,Tecnologia,1107330,334824
2023-03-01,Hogar,669913,133956
2023-03-01,Vestuario,369842,133128
2023-03-01,Deportes,456750,121757
2023-03-01,Electrodomesticos,637776,166061
2023-04-01,Tecnologia,974677,179176
2023-04-01,Hogar,539075,189419
2023-04-01,Vestuario,273778,86819
2023-04-01,Deportes,552129,115143
2023-04-01,Electrodomesticos,725485,131525
2023-05-01,Tecnologia,1131657,305082
2023-05-01,Hogar,652240,209951
2023-05-01,Vestuario,277896,61681
2023-05-01,Deportes,541436,163025
2023-05-01,Electrodomesticos,849165,320990
2023-06-01,Tecnologia,1027289,357463
2023-06-01,Hogar,536695,191548
2023-06-01,Vestuario,341352,122049
2023-06-01,Deportes,488251,166792
2023-06-01,Electrodomesticos,649404,211603
2023-07-01,Tecnologia,856882,177006
2023-07-01,Hogar,573994,197554
2023-07-01,Vestuario,408861,140292
2023-07-01,Deportes,476392,142638
2023-07-01,Electrodomesticos,842591,296080
2023-08-01,Tecnologia,983943,200162
2023-08-01,Hogar,770902,199011
2023-08-01,Vestuario,330824,84372
2023-08-01,Deportes,365913,66298
2023-08-01,Electrodomesticos,683859,198930
2023-09-01,Tecnologia,977561,183672
2023-09-01,Hogar,597616,163657
2023-09-01,Vestuario,398417,116766
2023-09-01,Deportes,451646,159234
2023-09-01,Electrodomesticos,668608,219171
2023-10-01,Tecnologia,1141803,398126
2023-10-01,Hogar,649508,171695
2023-10-01,Vestuario,316537,71873
2023-10-01,Deportes,373305,91175
2023-10-01,Electrodomesticos,738952,238050
2023-11-01,Tecnologia,1174546,377516
2023-11-01,Hogar,668860,126497
2023-11-01,Vestuario,329757,119682
2023-11-01,Deportes,535733,191612
2023-11-01,Electrodomesticos,736215,275815
2023-12-01,Tecnologia,940942,194323
2023-12-01,Hogar,639316,159814
2023-12-01,Vestuario,279310,52157
2023-12-01,Deportes,541321,140430
2023-12-01,Electrodomesticos,834932,201920
2024-01-01,Tecnologia,930951,234453
2024-01-01,Hogar,462732,151984
2024-01-01,Vestuario,434435,138193
2024-01-01,Deportes,475152,114163
2024-01-01,Electrodomesticos,785082,265537
2024-02-01,Tecnologia,918562,346465
2024-02-01,Hogar,646367,188964
2024-02-01,Vestuario,323155,107063
2024-02-01,Deportes,583686,133943
2024-02-01,Electrodomesticos,868694,284579
2024-03-01,Tecnologia,1149023,319867
2024-03-01,Hogar,525579,176858
2024-03-01,Vestuario,350416,95735
2024-03-01,Deportes,424497,142777
2024-03-01,Electrodomesticos,582401,156657
2024-04-01,Tecnologia,1173306,291968
2024-04-01,Hogar,508627,184190
2024-04-01,Vestuario,368867,116512
2024-04-01,Deportes,512067,155183
2024-04-01,Electrodomesticos,770191,226595
2024-05-01,Tecnologia,1237777,401616
2024-05-01,Hogar,471409,124817
2024-05-01,Vestuario,298268,108550
2024-05-01,Deportes,479728,178722
2024-05-01,Electrodomesticos,741314,266639
2024-06-01,Tecnologia,1317340,273203
2024-06-01,Hogar,731687,177116
2024-06-01,Vestuario,278834,76092
