id_cliente,nombre_cliente,segmento,region,ciudad
1,Cliente_1,Empresa,Centro,Rancagua
2,Cliente_2,Retail,Centro,Valparaiso
3,Cliente_3,Empresa,Norte,Iquique
4,Cliente_4,Retail,Centro,Rancagua
5,Cliente_5,Retail,Sur,Concepcion
6,Cliente_6,Retail,Centro,Rancagua
7,Cliente_7,Retail,Centro,Rancagua
8,Cliente_8,Retail,Norte,Antofagasta
9,Cliente_9,Retail,Centro,Rancagua
10,Cliente_10,Retail,Sur,Concepcion
11,Cliente_11,Retail,Sur,PuertoMontt
12,Cliente_12,Retail,Sur,PuertoMontt
13,Cliente_13,Retail,Sur,PuertoMontt
14,Cliente_14,Retail,Centro,Santiago
15,Cliente_15,Empresa,Norte,Antofagasta
16,Cliente_16,Retail,Sur,Concepcion
17,Cliente_17,Empresa,Sur,Temuco
18,Cliente_18,Retail,Norte,Antofagasta
19,Cliente_19,Empresa,Sur,PuertoMontt
20,Cliente_20,Empresa,Norte,Antofagasta
21,Cliente_21,Empresa,Norte,Antofagasta
22,Cliente_22,Retail,Centro,Valparaiso
23,Cliente_23,Retail,Norte,Arica
24,Cliente_24,Empresa,Norte,Antofagasta
25,Cliente_25,Empresa,Sur,Concepcion
26,Cliente_26,Empresa,Sur,Temuco
27,Cliente_27,Empresa,Sur,Temuco
28,Cliente_28,Empresa,Centro,Rancagua
29,Cliente_29,Retail,Centro,Santiago
30,Cliente_30,Empresa,Sur,Temuco
31,Cliente_31,Retail,Norte,Antofagasta
32,Cliente_32,Retail,Norte,Iquique
33,Cliente_33,Retail,Sur,Concepcion
34,Cliente_34,Retail,Norte,Iquique
35,Cliente_35,Empresa,Sur,PuertoMontt
36,Cliente_36,Empresa,Centro,Santiago
37,Cliente_37,Retail,Sur,PuertoMontt
38,Cliente_38,Retail,Centro,Valparaiso
39,Cliente_39,Retail,Sur,Concepcion
40,Cliente_40,Retail,Sur,PuertoMontt
41,Cliente_41,Empresa,Norte,Arica
42,Cliente_42,Retail,Sur,PuertoMontt
43,Cliente_43,Retail,Centro,Rancagua
44,Cliente_44,Empresa,Centro,Santiago
45,Cliente_45,Empresa,Sur,Temuco
46,Cliente_46,Retail,Norte,Antofagasta
47,Cliente_47,Retail,Sur,Concepcion
48,Cliente_48,Retail,Centro,Valparaiso
49,Cliente_49,Empresa,Centro,Santiago
50,Cliente_50,Retail,Sur,PuertoMontt
51,Cliente_51,Retail,Sur,PuertoMontt
52,Cliente_52,Empresa,Centro,Valparaiso
53,Cliente_53,Empresa,Sur,Concepcion
54,Cliente_54,Retail,Centro,Santiago
55,Cliente_55,Retail,Centro,Santiago
56,Cliente_56,Empresa,Norte,Iquique
57,Cliente_57,Retail,Norte,Antofagasta
58,Cliente_58,Empresa,Norte,Iquique
59,Cliente_59,Empresa,Norte,Iquique
60,Cliente_60,Retail,Norte,Arica
61,Cliente_61,Retail,Centro,Santiago
62,Cliente_62,Empresa,Centro,Valparaiso
63,Cliente_63,Empresa,Sur,PuertoMontt
64,Cliente_64,Empresa,Norte,Iquique
65,Cliente_65,Empresa,Centro,Valparaiso
66,Cliente_66,Retail,Centro,Santiago
67,Cliente_67,Empresa,Sur,PuertoMontt
68,Cliente_68,Empresa,Sur,Concepcion
69,Cliente_69,Retail,Norte,Arica
70,Cliente_70,Retail,Norte,Antofagasta
71,Cliente_71,Retail,Centro,Rancagua
72,Cliente_72,Empresa,Centro,Rancagua
73,Cliente_73,Empresa,Sur,Temuco
74,Cliente_74,Empresa,Sur,Temuco
75,Cliente_75,Empresa,Norte,Iquique
76,Cliente_76,Retail,Centro,Santiago
77,Cliente_77,Retail,Sur,Concepcion
78,Cliente_78,Empresa,Norte,Arica
79,Cliente_79,Retail,Norte,Iquique
80,Cliente_80,Empresa,Centro,Santiago
81,Cliente_81,Empresa,Norte,Iquique
82,Cliente_82,Retail,Centro,Rancagua
83,Cliente_83,Retail,Norte,Antofagasta
84,Cliente_84,Empresa,Sur,Temuco
85,Cliente_85,Retail,Norte,Arica
86,Cliente_86,Retail,Sur,Concepcion
87,Cliente_87,Retail,Sur,Concepcion
88,Cliente_88,Retail,Norte,Iquique
89,Cliente_89,Retail,Sur,PuertoMontt
90,Cliente_90,Retail,Sur,Concepcion
91,Cliente_91,Empresa,Norte,Antofagasta
92,Cliente_92,Retail,Sur,PuertoMontt
93,Cliente_93,Empresa,Norte,Antofagasta
94,Cliente_94,Empresa,Centro,Santiago
95,Cliente_95,Retail,Sur,Concepcion
96,Cliente_96,Retail,Centro,Rancagua
97,Cliente_97,Empresa,Sur,PuertoMontt
98,Cliente_98,Retail,Sur,Temuco
99,Cliente_99,Empresa,Norte,Iquique
100,Cliente_100,Empresa,Centro,Valparaiso
101,Cliente_101,Empresa,Sur,Temuco
102,Cliente_102,Empresa,Centro,Valparaiso
103,Cliente_103,Retail,Sur,PuertoMontt
104,Cliente_104,Empresa,Norte,Iquique
105,Cliente_105,Retail,Centro,Rancagua
106,Cliente_106,Empresa,Sur,Temuco
107,Cliente_107,Empresa,Centro,Valparaiso
108,Cliente_108,Retail,Norte,Antofagasta
109,Cliente_109,Retail,Centro,Rancagua
110,Cliente_110,Retail,Centro,Rancagua
111,Cliente_111,Empresa,Sur,Temuco
112,Cliente_112,Retail,Centro,Santiago
113,Cliente_113,Empresa,Norte,Iquique
114,Cliente_114,Empresa,Centro,Valparaiso
115,Cliente_115,Empresa,Norte,Iquique
116,Cliente_116,Retail,Sur,PuertoMontt
117,Cliente_117,Empresa,Norte,Iquique
118,Cliente_118,Retail,Sur,Temuco
119,Cliente_119,Retail,Norte,Antofagasta
120,Cliente_120,Retail,Sur,Temuco
121,Cliente_121,Empresa,Norte,Antofagasta
122,Cliente_122,Retail,Centro,Valparaiso
123,Cliente_123,Retail,Centro,Santiago
124,Cliente_124,Retail,Norte,Iquique
125,Cliente_125,Empresa,Centro,Rancagua
126,Cliente_126,Retail,Norte,Arica
127,Cliente_127,Empresa,Norte,Antofagasta
128,Cliente_128,Empresa,Centro,Santiago
129,Cliente_129,Retail,Norte,Iquique
130,Cliente_130,Empresa,Norte,Antofagasta
131,Cliente_131,Retail,Centro,Santiago
132,Cliente_132,Empresa,Centro,Rancagua
