id_venta,id_cliente,fecha,categoria,producto,unidades,ventas,margen
1,637,2024-12-03,Deportes,Pesas,2,323934,66539
2,1393,2024-04-02,Vestuario,Polera,2,220150,53256
3,123,2023-05-01,Deportes,Balon,2,109590,40376
4,222,2023-12-02,Vestuario,Zapatillas,1,131779,43362
5,1077,2023-10-20,Tecnologia,Monitor,3,185841,59421
6,146,2024-10-30,Tecnologia,Notebook,3,520998,137061
7,1430,2023-03-23,Vestuario,Chaqueta,1,44954,10371
8,20,2023-06-15,Deportes,Raqueta,2,200212,50200
9,871,2024-04-10,Hogar,Silla,1,26481,7782
10,1474,2023-06-20,Deportes,Balon,1,128184,31754
11,1068,2023-07-18,Vestuario,Pantalon,1,177669,42950
12,783,2024-12-20,Tecnologia,Monitor,3,162096,50071
13,388,2024-07-25,Hogar,Silla,2,247546,78131
14,1210,2024-10-12,Deportes,Raqueta,4,258100,47655
15,407,2024-12-10,Hogar,Silla,1,139229,34907
16,871,2023-07-28,Tecnologia,Tablet,1,125441,39725
17,726,2023-01-22,Tecnologia,Monitor,1,138381,42263
18,844,2023-04-08,Tecnologia,Notebook,4,334760,77313
19,87,2024-12-31,Hogar,Silla,2,107506,33303
20,1026,2023-07-03,Deportes,Raqueta,2,60166,10908
21,811,2024-05-29,Deportes,Raqueta,5,596885,219856
22,662,2023-08-20,Vestuario,Chaqueta,1,32407,6680
23,819,2024-03-19,Hogar,Mesa,2,159088,34251
24,577,2023-05-04,Tecnologia,Tablet,1,119114,27260
25,1204,2023-02-02,Electrodomesticos,Lavadora,1,61267,12783
26,603,2023-07-16,Electrodomesticos,Lavadora,2,209530,42174
27,1015,2023-05-16,Tecnologia,Tablet,2,192222,71237
28,802,2023-07-25,Hogar,Sofa,1,110868,35727
29,1088,2024-04-12,Tecnologia,Monitor,1,142990,33634
30,563,2024-06-15,Vestuario,Pantalon,2,179908,59156
31,449,2023-03-02,Deportes,Pesas,2,150764,32140
32,611,2024-04-27,Tecnologia,Notebook,1,59570,17925
33,1206,2024-12-02,Deportes,Raqueta,2,127456,25866
34,225,2024-09-17,Tecnologia,Monitor,2,217314,54654
35,518,2023-09-24,Electrodomesticos,Lavadora,1,44826,11698
36,141,2024-04-10,Vestuario,Zapatillas,1,146043,34997
37,1238,2024-10-24,Deportes,Pesas,4,20000,5904
38,1376,2023-07-01,Electrodomesticos,Microondas,1,157585,52687
39,241,2023-07-17,Deportes,Pesas,1,139440,45834
40,840,2023-08-16,Hogar,Silla,2,10000,1925
41,302,2024-04-11,Vestuario,Polera,1,150459,52996
42,461,2024-03-05,Electrodomesticos,Microondas,1,34176,10709
43,217,2024-11-06,Deportes,Raqueta,1,160903,33800
44,74,2023-12-29,Electrodomesticos,Refrigerador,3,59256,17184
45,1451,2024-11-25,Vestuario,Pantalon,1,80106,24953
46,1074,2024-06-18,Hogar,Lampara,2,88840,27010
47,275,2023-10-05,Tecnologia,Monitor,4,322564,108817
48,657,2023-02-13,Tecnologia,Notebook,3,432948,81258
49,1023,2023-03-15,Electrodomesticos,Refrigerador,1,23583,5469
50,396,2024-08-31,Hogar,Sofa,1,102841,29809
51,844,2023-06-09,Electrodomesticos,Aspiradora,2,352898,128316
52,442,2023-05-15,Tecnologia,Smartphone,3,258030,86138
53,1048,2024-08-28,Hogar,Sofa,1,150971,56051
54,338,2024-04-07,Electrodomesticos,Aspiradora,4,455740,162005
55,397,2023-09-22,Vestuario,Polera,2,120886,31178
56,606,2023-06-28,Vestuario,Polera,2,257438,88972
57,925,2023-06-06,Electrodomesticos,Aspiradora,1,63384,22480
58,1292,2023-09-26,Hogar,Silla,1,103634,19212
59,1143,2024-03-14,Tecnologia,Smartphone,1,105868,40137
60,498,2023-10-31,Deportes,Bicicleta,2,61666,14000
61,36,2024-03-06,Electrodomesticos,Refrigerador,1,5000,1582
62,660,2024-01-13,Hogar,Silla,3,261141,93010
63,395,2023-02-23,Deportes,Balon,4,465820,98131
64,1481,2024-07-21,Electrodomesticos,Refrigerador,1,133247,42846
65,213,2023-05-25,Deportes,Balon,5,322385,69183
66,732,2023-05-25,Hogar,Sofa,3,324177,59447
67,1410,2024-09-01,Electrodomesticos,Aspiradora,2,119470,21682
68,991,2023-07-18,Deportes,Bicicleta,2,135040,37178
69,168,2024-05-05,Vestuario,Chaqueta,4,574832,128536
70,497,2024-09-09,Hogar,Mesa,1,63936,22466
71,148,2023-10-03,Deportes,Pesas,1,136255,45043
